name,start time(s),end time(s),start frame,end frame,x,y
d48_01_F.mp4,90.19,94.16,2704.0,2823.0,465,465
d48_01_T.mp4,90.16,94.13,2703.0,2822.0,368,562
d48_02_F.mp4,90.82,94.73,2723.0,2840.0,471,536
d48_02_S.mp4,88.22,92.19,2645.0,2764.0,503,364
d48_02_T.mp4,90.06,94.03,2700.0,2819.0,482,621
d48_03_F.mp4,90.59,94.49,2716.0,2833.0,269,537
d48_03_S.mp4,88.56,92.53,2655.0,2774.0,335,321
d48_04_F.mp4,90.26,94.23,2706.0,2825.0,407,623
d48_04_M.mp4,90.46,94.43,2712.0,2831.0,409,801
d48_04_T.mp4,90.36,94.36,2709.0,2829.0,392,680
d48_05_S.mp4,89.76,93.73,2691.0,2810.0,253,340
d48_05_T.mp4,90.49,94.46,2713.0,2832.0,301,536
d48_06_F.mp4,90.89,94.86,2725.0,2844.0,377,536
d48_06_S.mp4,88.52,92.49,2654.0,2773.0,386,319
d48_10_T.mp4,86.95,90.96,2607.0,2727.0,459,536
d48_11_M.mp4,89.09,93.06,2671.0,2790.0,370,643
d48_11_S.mp4,90.62,95.56,2717.0,2865.0,413,459
d48_11_T.mp4,89.36,93.33,2679.0,2798.0,231,558
d48_12_F.mp4,90.09,93.19,2701.0,2794.0,376,680
d48_12_S.mp4,90.76,95.73,2721.0,2870.0,389,391
d48_12_T.mp4,89.46,93.43,2682.0,2801.0,320,541
d48_13_M.mp4,88.82,92.79,2663.0,2782.0,385,628
d48_13_S.mp4,66.23,71.20,1986.0,2135.0,483,437
d48_14_M.mp4,88.82,92.73,2663.0,2780.0,242,725
d48_14_T.mp4,88.99,92.96,2668.0,2787.0,267,505
d48_15_T.mp4,89.16,93.13,2673.0,2792.0,342,505
d48_16_T.mp4,89.52,93.46,2684.0,2802.0,388,558
d48_17_F.mp4,89.46,93.43,2682.0,2801.0,484,543
d48_17_M.mp4,89.09,93.06,2671.0,2790.0,486,643
d48_17_T.mp4,88.52,92.53,2654.0,2774.0,439,463
d48_19_F.mp4,89.62,93.59,2687.0,2806.0,481,486
d48_19_M.mp4,88.89,92.89,2665.0,2785.0,451,570
d48_19_S.mp4,82.08,87.05,2461.0,2610.0,453,412
d48_19_T.mp4,87.62,91.59,2627.0,2746.0,452,408
d48_20_M.mp4,89.52,93.49,2684.0,2803.0,348,698
d48_21_M.mp4,87.32,91.26,2618.0,2736.0,286,418
d48_21_S.mp4,90.19,95.16,2704.0,2853.0,283,211
d48_21_T.mp4,88.66,92.63,2658.0,2777.0,284,564
d48_7_T.mp4,88.39,92.36,2650.0,2769.0,370,501
d48_8_F.mp4,88.86,92.76,2664.0,2781.0,491,613
d48_8_T.mp4,88.89,92.86,2665.0,2784.0,510,594
d48_9_F.mp4,89.79,93.76,2692.0,2811.0,624,625
d48_9_T.mp4,88.59,92.56,2656.0,2775.0,493,558
d48_03_T.mp4,90.12,93.46,2702.0,2802.0,342,662
d48_06_T.mp4,91.02,94.99,2729.0,2848.0,460,545
d48_16_F.mp4,89.42,93.39,2681.0,2800.0,462,697
d48_18_M.mp4,57.82,61.80,1734.0,1853.0,423,632
d48_21_F.mp4,89.09,93.06,2671.0,2790.0,20,1491
d48_22_T.mp4,167.13,171.00,5010.0,5126.0,674,262
d48_8_M.mp4,91.49,95.46,2743.0,2862.0,283,832
