Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,Tail_dist,Body1_dist,Body2_dist,Body3_dist,Head_dist,avg_dist_vel,jittery,distance_surface,avg_acc,angle
2775.0,159.30244,-366.43903,0.6400977,173.10773,-352.87234,0.46361372,189.59937,-339.52432,0.39689997,191.49925,-338.24048,0.40219104,205.65445,-319.04056,0.31430006,,,,,,,0,-245.63933,,45.63951873779297
2776.0,161.58617,-360.23886,0.41126263,176.28397,-348.78027,0.54124105,190.65971,-335.63242,0.3433791,194.60855,-330.5752,0.43046337,207.63701,-313.95413,0.40400463,6.607377,5.1801105,4.033767,8.271898,5.4591455,5.9485207,0,-240.25218,178.45561,45.14512634277344
2777.0,168.46317,-355.92322,0.5207834,208.67015,-312.85114,0.46340007,198.3944,-323.66357,0.47168165,189.8736,-331.97977,0.3461397,208.11795,-310.43192,0.16573393,8.118983,48.37115,14.25056,4.9388885,3.5549004,18.124289,0,-229.38591,543.72864,48.921321868896484
2778.0,171.10837,-353.9592,0.34603205,180.23138,-339.62827,0.3959797,198.67816,-319.2425,0.41485924,190.35783,-327.4336,0.37699723,209.30891,-305.87067,0.31546232,3.2946124,39.06121,4.430179,4.57189,4.7141685,11.710249,0,-231.64287,351.30746,51.537086486816406
2779.0,172.91072,-351.74878,0.40756273,179.93314,-336.26407,0.38317373,193.19566,-320.30066,0.39254892,195.49084,-317.40662,0.41550905,209.32025,-302.13672,0.36768076,2.8520918,3.3773913,5.583682,11.264461,3.733965,5.44212,0,-227.98735,163.2636,53.725624084472656
2780.0,173.47002,-347.87073,0.3297052,181.27411,-330.479,0.40059736,193.89761,-315.7297,0.44818223,191.127,-318.22372,0.34456515,212.03242,-296.33896,0.2649792,3.9181752,5.9384494,4.6245375,4.4396863,6.400774,5.016271,0,-224.14445,150.48813,53.19164276123047
2781.0,172.86528,-342.15485,0.45726672,181.44075,-326.45016,0.4577583,194.82954,-311.27814,0.3917837,195.29997,-310.08557,0.3580775,211.63924,-293.66855,0.30232114,5.7477827,4.032284,4.548072,9.145668,2.6992013,5.259651,0,-219.14348,157.78952,51.35105895996094
2782.0,171.36226,-339.45752,0.43979707,181.4189,-322.2123,0.42507884,196.4932,-306.93613,0.42017767,190.8474,-311.1394,0.3812216,209.51021,-292.6167,0.24983412,3.087822,4.2379103,4.649816,4.575587,2.374689,3.888505,0,-216.88841,116.65514,50.840049743652344
2783.0,168.81694,-337.2799,0.7161641,180.41133,-321.87683,0.40670595,192.7151,-307.11697,0.477234,201.71492,-299.04797,0.36621243,211.90617,-288.6847,0.3404283,3.3497226,1.0619513,3.7824173,16.257483,4.60449,5.2702584,0,-213.21727,158.10774,48.43668746948242
2784.0,168.13443,-333.28668,0.6396695,179.73944,-319.47177,0.43800026,192.21696,-305.26346,0.44273597,199.87022,-297.21622,0.29216513,210.01845,-288.2305,0.30863917,4.0511317,2.4971483,1.9192868,2.5996606,1.9415973,2.7784414,0,-211.1097,83.35324,47.08960723876953
