Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,Tail_dist,Body1_dist,Body2_dist,Body3_dist,Head_dist,avg_dist_vel,jittery,distance_surface,avg_acc,angle
2832.0,72.6033,-541.2135,0.10954374,41.19343,-521.28687,0.15567744,257.21893,-575.2985,0.24800724,98.87317,-455.2088,0.2726245,86.56336,-454.3814,0.5757301,,,,,,,0,-302.75778,,80.86666107177734
2833.0,72.464645,-541.299,0.11061329,81.47327,-544.7735,0.14615452,257.2417,-574.73535,0.25521106,90.078766,-452.4085,0.29267544,85.63046,-454.773,0.6607795,0.16290385,46.627106,0.56363136,9.229473,1.0117575,7.06031,0,-306.87784,211.80928,81.34822082519531
2834.0,72.31618,-541.1482,0.119250156,81.58751,-544.60736,0.15341306,257.43182,-575.3929,0.22259487,90.563705,-452.2426,0.27358925,85.04996,-454.95657,0.7010983,0.21163361,0.20162612,0.6844672,0.51253,0.60883653,0.52764213,0,-306.94955,15.829263,81.59603118896484
2835.0,72.1913,-541.2245,0.11322047,81.52314,-544.58435,0.1542321,257.47754,-575.4809,0.21718915,89.7708,-451.78384,0.25248727,84.326935,-454.47772,0.6678477,0.14633955,0.06835836,0.09917725,0.916064,0.86721396,0.6114787,0,-306.7903,18.34436,82.03616333007812
2836.0,72.284004,-541.6701,0.0996819,103.98827,-456.80396,0.15730464,257.76038,-575.8561,0.23602104,89.516945,-451.7282,0.2818953,83.86447,-455.05453,0.6541895,0.45515853,90.60949,0.46985006,0.25987756,0.7393141,10.472708,1,-289.50256,314.1812,82.38473510742188
2837.0,72.17461,-541.22656,0.09718509,102.91679,-444.94727,0.29270923,99.0778,-446.47168,0.23411715,86.101906,-450.94647,0.2703105,83.41253,-454.48712,0.6629233,0.45683458,11.905006,204.74492,3.5033708,0.72540325,33.964645,1,-260.8958,1018.93933,82.61790466308594
2838.0,115.97405,-447.81793,0.5971284,104.12883,-445.6033,0.6167589,94.27806,-447.1569,0.25816095,86.037766,-450.6984,0.2826558,82.944496,-454.14764,0.6541405,103.16765,1.3781995,4.8483996,0.256235,0.5781866,26.63379,1,-242.3648,799.0136,190.8485107421875
2839.0,111.95377,-434.8109,0.74873865,101.768,-442.9339,0.6906534,89.596565,-448.47122,0.47101498,251.10983,-578.00604,0.16551329,125.56306,-557.0913,0.09839528,13.614154,3.5635996,4.862496,208.46109,111.41697,27.783894,1,-285.5427,833.5168,276.35064697265625
2840.0,108.759056,-436.81097,0.3649011,100.00835,-440.66147,0.5406562,85.80307,-447.2204,0.54093874,82.93545,-448.22308,0.19909602,125.45898,-557.107,0.12535104,3.7691462,2.874076,3.994392,212.42937,0.10525559,26.763716,1,-259.28458,802.91144,277.9034957885742
2841.0,107.31152,-431.63104,0.14959608,68.39182,-454.1713,0.19078922,83.74915,-447.91483,0.5472826,93.86659,-439.0047,0.40442935,103.8935,-423.79395,0.38619864,5.3783865,34.381973,2.1681337,14.299249,135.04607,39.616684,1,-232.58316,1188.5005,113.56363677978516
2842.0,72.55633,-540.94476,0.114525214,69.13523,-458.00253,0.3615794,84.612885,-443.58063,0.71787506,96.95156,-431.07883,0.6520271,108.7454,-415.4893,0.5699739,114.705765,3.9026964,4.4194236,8.505086,9.618121,11.899125,1,-251.09918,356.97372,73.90918731689453
2843.0,64.58077,-463.76263,0.4522593,72.97884,-450.91833,0.5629297,89.311035,-431.7257,0.4705671,101.191055,-420.44574,0.50020504,112.23157,-407.85147,0.6269145,77.59311,8.059729,12.75193,11.447089,8.39581,21.669327,0,-228.22083,650.0798,49.56040573120117
2844.0,63.22391,-458.144,0.76270103,75.630646,-443.09232,0.5846814,88.78257,-425.4742,0.45028487,102.089806,-413.48282,0.5288058,115.13364,-399.1447,0.6250859,5.7801366,8.263088,6.2737923,7.020685,9.17767,7.289095,0,-221.14761,218.67284,48.657508850097656
2845.0,65.50778,-454.9948,0.733276,76.58106,-439.12335,0.5177748,92.79969,-417.29382,0.4928936,104.18993,-406.50455,0.59721184,116.05058,-393.90726,0.678419,3.8901837,4.081172,9.113508,7.287442,5.317118,5.768055,0,-215.64474,173.04164,50.39622497558594
2846.0,66.61448,-450.84576,0.6135947,76.3056,-434.31348,0.49716628,92.49451,-412.3301,0.46934056,104.335106,-401.82864,0.64205796,116.91656,-390.6915,0.70588326,4.2941093,4.8177567,4.973088,4.6781564,3.3303182,4.3437223,0,-211.28189,130.31166,50.097023010253906
2847.0,67.01172,-446.74838,0.6624646,75.74811,-430.12653,0.52256817,90.16233,-411.12518,0.49034992,103.86573,-398.94583,0.57606024,116.56649,-386.86008,0.69564724,4.1165924,4.223903,2.6250508,2.920774,3.84738,3.5901608,0,-208.04117,107.70482,50.393836975097656
2848.0,68.78152,-440.48685,0.5925984,75.49528,-424.52286,0.4263113,89.58724,-408.65628,0.5267148,104.15042,-395.84097,0.52240145,116.45068,-385.46048,0.72675407,6.5068436,5.6093693,2.5349963,3.117883,1.4043801,3.6610856,0,-204.2735,109.832565,49.097721099853516
2849.0,69.34593,-436.4792,0.32755184,70.34722,-425.85947,0.37218353,88.98195,-404.87112,0.6629311,102.29416,-394.39502,0.68676716,115.97565,-384.12433,0.782605,4.0472093,5.318741,3.8332477,2.352975,1.4180831,3.0268452,0,-202.42581,90.80535,48.31022644042969
2850.0,66.25923,-435.61328,0.2970622,71.13481,-420.42697,0.409489,85.70025,-405.47733,0.6667426,100.54118,-392.56058,0.55042154,115.698685,-382.51904,0.8247519,3.205856,5.4892898,3.33722,2.5373414,1.6290028,2.9708703,0,-200.59943,89.12611,47.04142761230469
2851.0,61.349907,-436.91675,0.31903338,70.02206,-419.749,0.45414072,83.49507,-404.88022,0.6177485,99.164604,-391.3406,0.5326554,114.43301,-381.42694,0.74076253,5.0794187,1.3030266,2.2845883,1.8393745,1.6717143,2.1925347,0,-200.1427,65.77604,46.26984786987305
2852.0,64.64945,-436.78336,0.36557525,68.11134,-418.98004,0.45288673,83.04161,-403.30627,0.6489657,97.66894,-390.69568,0.6598221,113.08587,-381.247,0.81294215,3.3022406,2.0596385,1.6379641,1.6287881,1.3591007,1.8306845,0,-199.48248,54.920532,48.90645980834961
2853.0,63.834724,-437.2633,0.41433272,68.71561,-416.32416,0.43466008,83.287285,-401.10623,0.6460194,96.81185,-389.4487,0.73192537,112.22188,-380.02972,0.76760024,0.94558626,2.723757,2.2137172,1.5131269,1.4927368,1.7562381,0,-198.11441,52.68714,49.7877197265625
2854.0,63.31766,-437.1136,0.31340134,68.28189,-415.75037,0.49414542,81.881516,-400.53476,0.7371676,96.00511,-388.97086,0.5987972,111.71936,-379.46637,0.7957605,0.538303,0.7192677,1.5174874,0.93763757,0.7549121,0.95430243,1,-197.64719,28.629072,49.982540130615234
