Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,avg_dist_vel,jittery,distance_surface,avg_acc,angle
2525.0,262.47482,1756.1744,0.25780815,764.5838,841.0098,0.09687936,678.60333,1872.5214,0.29460657,559.46533,1874.9382,0.24448703,789.05365,823.3753,0.10046435,,0,,,
2526.0,263.79865,1758.6467,0.24730761,764.71075,838.9071,0.15335833,693.2268,1872.4203,0.26611394,567.8927,1874.5598,0.25112486,786.36536,819.14935,0.100028664,,0,,,
2527.0,264.1795,1758.8727,0.24615835,755.8222,870.2822,0.101771675,677.57916,1872.9635,0.26070848,567.82324,1874.8291,0.22856167,789.7092,820.623,0.11248869,,0,,,
2528.0,264.49042,1758.4387,0.23788261,757.3281,859.3748,0.18140854,677.8353,1873.3345,0.26456577,589.20123,1874.6018,0.23228377,792.4762,822.55756,0.13004659,,0,,,
2529.0,264.81976,1759.4717,0.21752411,767.0934,837.09375,0.14740156,678.5399,1872.6089,0.28985128,570.0454,1875.2504,0.24511336,801.6372,832.8872,0.08150817,,0,,,
2530.0,265.0256,1759.3251,0.2138106,766.22485,842.5057,0.1520882,664.182,1871.8931,0.33698094,569.8517,1875.6403,0.24056777,779.89105,800.66736,0.07659553,,0,,,
2531.0,265.05478,1758.5029,0.19466902,767.03894,841.6327,0.17287059,663.82684,1871.7637,0.36028898,568.85956,1874.8778,0.25818586,779.34515,800.723,0.08512287,,0,,,
2532.0,265.00668,1759.0851,0.2213807,766.8832,842.11346,0.2117319,663.79297,1872.053,0.3680458,568.43097,1875.1229,0.2457326,780.7735,802.97595,0.11247254,,0,,,
2533.0,264.99512,1758.9365,0.21890536,766.46277,843.5995,0.25039193,664.2567,1872.0698,0.3533212,587.82465,1875.7584,0.23008771,795.60974,818.2128,0.10458238,,0,,,
2534.0,264.95642,1756.4093,0.20360638,764.9183,844.1945,0.20051184,663.8738,1871.945,0.34023833,587.462,1875.7035,0.22228529,802.34106,821.92737,0.14727183,,0,,,
2535.0,264.87708,1756.1785,0.20631723,763.16595,841.056,0.15541208,664.10065,1872.6768,0.33139744,568.61646,1874.8252,0.22415188,799.16394,818.4498,0.19796367,,0,,,
2536.0,265.01035,1755.9635,0.19852152,765.0341,846.1852,0.10840936,662.8203,1873.7954,0.31283492,569.3179,1875.0156,0.23724616,799.2195,824.13684,0.20490466,,0,,,
2537.0,262.29138,1753.3217,0.17946213,750.4981,828.57825,0.13727202,663.55786,1872.6715,0.3131287,567.58276,1874.3364,0.26992017,803.593,822.4466,0.20249933,,0,,,
2538.0,264.81122,1756.8876,0.20628986,750.19934,831.3819,0.14746957,664.349,1872.1211,0.3505022,565.964,1874.3534,0.2608672,804.06165,823.60297,0.18429296,,0,,,
2539.0,265.16602,1758.2778,0.22480951,751.8429,830.8662,0.15153755,664.9812,1871.4952,0.37425822,567.39185,1873.993,0.2595019,803.8244,823.18274,0.17614931,,0,,,
2540.0,263.03864,1755.7921,0.20825902,752.8246,829.3073,0.1677256,664.87524,1871.7101,0.3197312,567.5868,1873.6432,0.28125808,803.0529,824.5375,0.15875952,,0,,,
2541.0,265.00653,1758.3109,0.2038388,753.79065,829.14526,0.1488396,664.8123,1871.3807,0.30573812,566.9745,1873.6074,0.26885104,804.63007,826.7066,0.15110031,,0,,,
2542.0,265.08896,1758.888,0.2356868,752.77484,828.469,0.14101999,664.7613,1872.2574,0.31044534,567.4094,1873.7533,0.29777327,802.8614,825.47485,0.16326077,,0,,,
2543.0,264.80652,1759.6569,0.2481332,752.57965,829.1199,0.13621369,662.9658,1872.024,0.36022764,558.2822,1874.616,0.29327884,802.6089,824.6844,0.15053484,,0,,,
2544.0,262.82904,1756.4545,0.24100685,187.01479,1773.0192,0.11358316,663.37384,1871.8293,0.3297403,545.2985,1875.3358,0.2886277,802.54175,824.41284,0.13879846,,0,,,
2545.0,262.775,1756.0358,0.24722812,187.43445,1773.2368,0.125093,663.5976,1871.3602,0.3201583,543.80334,1875.3422,0.2706945,802.52783,823.323,0.17416656,,0,,,
2546.0,262.4565,1756.0396,0.21781017,195.9596,1779.467,0.12098539,662.4368,1871.6385,0.3236247,556.3818,1875.2999,0.26007205,802.91125,823.17865,0.21396676,,0,,,
2547.0,262.39972,1756.3507,0.19375123,195.12637,1779.59,0.14908323,662.9165,1872.0106,0.29614627,557.0371,1875.331,0.27499196,803.1767,822.7778,0.23932864,,0,,,
2548.0,262.8419,1756.7269,0.22348899,749.98987,835.9611,0.12602498,633.3147,1871.822,0.28270298,557.6576,1875.3342,0.26255795,803.55115,821.80365,0.22043133,,0,,,
2549.0,829.679,837.8529,0.20538557,748.3807,831.9281,0.1203828,632.7009,1870.6855,0.29191938,556.40784,1875.3188,0.22783466,796.27905,823.2498,0.23283674,,1,,,
2550.0,829.88586,837.6059,0.21548806,748.24927,845.07166,0.18846375,633.10474,1870.2972,0.24843925,564.7491,1874.1564,0.21290958,795.61035,824.0796,0.21275203,,0,,,
2551.0,829.9522,837.12494,0.21023987,748.3132,845.7578,0.17256448,632.80835,1870.5345,0.2496368,564.6968,1874.2538,0.21784732,794.8912,824.3853,0.22455843,,0,,,
2552.0,829.4319,836.87384,0.1790211,746.13885,845.38983,0.15821333,631.9383,1870.2463,0.31373182,541.58386,1875.2992,0.23980042,794.7654,823.91406,0.22091326,,0,,,
2553.0,829.10004,836.7484,0.1765346,745.76025,844.9378,0.15435508,632.63055,1870.2894,0.31866628,540.781,1875.4126,0.23790051,795.4454,823.6254,0.25122884,,0,,,
2554.0,261.67728,1755.8801,0.16496375,745.4946,845.19604,0.12747124,634.02136,1870.7068,0.24518614,542.8692,1875.5323,0.21681367,799.5759,821.4805,0.24085286,,0,,,
2555.0,261.93466,1756.1022,0.16114211,1073.7273,1130.5537,0.11073622,634.0717,1870.0586,0.27582303,542.562,1875.8083,0.23354091,799.49,820.5079,0.2567591,,0,,,
2556.0,264.85388,1758.3173,0.19433355,743.5403,851.53,0.1577081,661.2673,1873.3077,0.27797204,565.2017,1876.5668,0.21848208,800.1782,821.53357,0.2923847,,0,,,
