Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,Tail_dist,Body1_dist,Body2_dist,Body3_dist,Head_dist,avg_dist_vel,jittery,distance_surface,avg_acc,angle
2282.0,53.36713,-268.03925,0.25683236,64.276024,-261.54172,0.43756405,74.69439,-258.69467,0.6845751,90.2203,-253.88245,0.36856565,101.52961,-248.80623,0.49543586,,,,,,,0,-132.94487,,21.76861000061035
2283.0,53.36713,-266.3772,0.29081422,64.276024,-260.17902,0.51726204,78.100105,-256.96423,0.80406004,91.073006,-253.34454,0.34015024,105.10602,-247.85962,0.43457186,1.6620483,1.3627014,3.82012,1.0081908,3.699563,2.6019511,0,-131.69691,78.05853,19.692514419555664
2284.0,53.36713,-266.3772,0.3745893,66.5821,-260.14417,0.70507574,80.88891,-255.19296,0.723675,91.22397,-252.46445,0.28651044,105.34294,-247.36092,0.41566044,0.0,2.3063395,3.303759,0.8929499,0.55212075,1.7969694,0,-131.05995,53.90908,20.095951080322266
2285.0,52.995422,-266.3772,0.5861929,67.220375,-260.1177,0.8427716,82.42778,-254.86336,0.62748826,94.24742,-252.208,0.26130062,108.17617,-245.67647,0.3967136,0.37170792,0.63882333,1.5737745,3.0343099,3.296142,1.4162232,0,-130.60054,42.486694,20.563278198242188
2286.0,52.714645,-266.40952,0.6772883,67.57823,-260.1177,0.79924023,83.975876,-253.88582,0.67386794,98.908905,-249.2663,0.39778695,110.53654,-244.60316,0.60294086,0.2826308,0.35785675,1.8308967,5.5120783,2.5929348,1.7350117,0,-129.60849,52.050346,20.662946701049805
2287.0,52.714645,-266.45358,0.7370272,68.636696,-258.33847,0.77787864,84.0266,-252.98143,0.71229374,99.01956,-249.0391,0.386769,111.24989,-243.85295,0.65170926,0.044067383,2.070272,0.90581,0.2527178,1.0352281,0.93717545,0,-128.8851,28.115263,21.11172103881836
2288.0,52.714645,-266.45358,0.78082097,69.91059,-257.81104,0.91402394,84.736786,-252.36903,0.72282904,99.31997,-248.6656,0.36093456,111.46352,-243.80927,0.6441626,0.0,1.3787665,0.93775684,0.47931087,0.21804418,0.6578059,0,-128.57373,19.734177,21.07878875732422
2289.0,53.69338,-266.40952,0.8124122,72.06778,-256.67877,0.89566714,85.51809,-251.70645,0.6078584,99.8122,-248.38947,0.35338292,111.67845,-243.38513,0.5835433,0.97972465,2.4362845,1.0244268,0.56439877,0.47548527,1.2535605,0,-128.06587,37.606815,21.656755447387695
2290.0,54.283638,-265.8784,0.8062629,73.23828,-256.13147,0.9598301,88.43011,-250.68015,0.5446618,102.507965,-246.60506,0.38307235,113.22521,-243.20523,0.5571068,0.7940423,1.2921355,3.0875804,3.2328393,1.5571874,1.7435162,0,-127.252075,52.305485,21.040321350097656
2291.0,55.2792,-264.57318,0.83373964,73.89686,-255.64024,0.9232477,90.163826,-249.7617,0.55687654,103.36355,-246.0898,0.38263085,114.539856,-242.59406,0.56043214,1.6415572,0.82160014,1.9619676,0.99875635,1.4497669,1.3553869,0,-126.48378,40.661602,20.34926414489746
2292.0,56.967575,-264.5486,0.6798426,74.535194,-255.52995,0.88586366,90.75667,-249.43681,0.5533963,103.36355,-246.0898,0.38110405,114.539856,-242.59406,0.57885426,1.6885523,0.647794,0.6760291,0.0,0.0,0.6807007,0,-126.391846,20.42102,20.873802185058594
2293.0,58.514244,-263.94843,0.57643163,75.33522,-254.93529,0.7985537,90.75667,-248.95232,0.56801933,103.36355,-245.97543,0.371918,114.61483,-242.59406,0.5496881,1.6590395,0.9968293,0.48449707,0.114364624,0.07497406,0.7370268,0,-126.0331,22.110804,20.83904457092285
2294.0,59.349384,-263.51428,0.6752692,75.796394,-254.791,0.7676485,90.75667,-248.66031,0.57924384,101.16873,-245.93408,0.42815977,114.717995,-242.5185,0.5811083,0.9412435,0.48321864,0.29200745,2.1952062,0.12787686,0.72239435,0,-125.83565,21.67183,20.76673698425293
2295.0,60.46454,-262.67416,0.69126946,76.06321,-253.53271,0.76981294,90.6357,-248.4542,0.5908995,101.16873,-245.68552,0.42619494,114.717995,-242.38771,0.61334765,1.3961977,1.2862631,0.23899339,0.24856567,0.13078308,0.7383751,0,-125.298874,22.151253,20.501773834228516
2296.0,60.93497,-262.23184,0.74001324,77.7547,-252.01436,0.8121695,90.6357,-248.14276,0.5676478,101.16873,-245.45558,0.40783462,114.849,-242.33112,0.61945283,0.6457206,2.2730036,0.31143188,0.22993469,0.14270638,0.85248315,0,-124.787125,25.574493,20.26009178161621
2297.0,61.594822,-262.23184,0.7902275,77.92893,-251.5717,0.804988,90.34573,-247.6448,0.56770986,103.37571,-244.69351,0.42446187,115.004654,-242.31024,0.62923694,0.6598511,0.47571272,0.5762273,2.334845,0.15704831,0.72168165,0,-124.44243,21.650448,20.455263137817383
2298.0,62.56361,-262.23184,0.79963547,77.92893,-251.53555,0.8177953,90.6357,-247.25783,0.65400904,103.389046,-244.49178,0.4363749,115.02396,-242.11371,0.6418484,0.96878815,0.03614807,0.48356023,0.20217678,0.19747882,0.39868733,0,-124.27812,11.960619,20.981430053710938
2299.0,62.56361,-263.0582,0.8689747,77.92893,-251.50304,0.85201997,90.6357,-246.87952,0.62858796,103.43392,-244.30722,0.423594,115.13277,-242.09612,0.62909293,0.826355,0.03251648,0.37831116,0.1899327,0.11022357,0.33312565,0,-124.3208,9.993769,21.739763259887695
2300.0,62.56361,-264.20795,0.86228585,77.79974,-251.46126,0.77723145,90.34573,-246.80391,0.6286606,103.43392,-244.24416,0.4553841,115.29442,-242.09612,0.6320014,1.1497498,0.13577603,0.29965794,0.063064575,0.16165161,0.42204782,0,-124.51466,12.661434,22.749971389770508
2301.0,62.886852,-264.48978,0.79886746,77.795616,-251.46126,0.8006139,89.95156,-246.63368,0.6294804,103.4211,-244.22157,0.44686708,115.298645,-242.04112,0.61989594,0.42885146,0.0041275024,0.42935923,0.025970621,0.055154867,0.20085686,0,-124.521484,6.025706,23.186080932617188
2302.0,62.886852,-264.788,0.73742425,77.795616,-251.46126,0.7978453,89.59933,-246.48135,0.5682107,103.4211,-244.2195,0.45013148,115.49874,-242.05426,0.6188317,0.29821777,0.0,0.38376123,0.0020751953,0.20052697,0.17746471,0,-124.55287,5.3239408,23.36929702758789
2303.0,62.886852,-264.788,0.6947705,77.79974,-251.03426,0.8229755,89.55719,-245.8147,0.5933133,103.37727,-243.84848,0.44961107,115.63432,-242.05426,0.64091533,0.0,0.4270219,0.66798687,0.3735966,0.13558197,0.31316474,0,-124.259964,9.394941,23.31565284729004
2304.0,64.53984,-264.788,0.46612573,77.91779,-250.0268,0.73811525,89.55719,-245.63716,0.65316343,103.313995,-243.76807,0.41437906,115.73104,-242.05426,0.6397506,1.6529884,1.0143542,0.17753601,0.10232552,0.096717834,0.5974335,0,-124.00685,17.923004,23.94574737548828
2305.0,68.21547,-258.11057,0.56952155,78.895096,-249.2078,0.7678991,89.55719,-245.59064,0.61727697,103.313995,-243.76106,0.40426508,115.7445,-242.05426,0.6432682,7.622225,1.2751007,0.046524048,0.007003784,0.013458252,1.7854644,0,-122.49687,53.56393,18.666048049926758
2306.0,68.21547,-257.26373,0.65097094,79.489876,-248.57315,0.7799299,89.51875,-245.3209,0.65446585,103.20924,-243.67575,0.41657275,115.7445,-242.10529,0.62384516,0.8468323,0.86979055,0.2724545,0.13509631,0.05102539,0.47861916,0,-122.13974,14.358574,17.689058303833008
2307.0,68.21547,-257.26373,0.7522993,79.489876,-248.57315,0.7405175,89.174706,-245.19913,0.662694,103.20924,-243.65479,0.41561347,115.81616,-242.10529,0.6363402,0.0,0.0,0.36496463,0.020965576,0.0716629,0.092339434,0,-122.11122,2.7701828,17.66408348083496
2308.0,67.223976,-257.26373,0.6839277,79.489876,-248.57315,0.6997978,89.174706,-245.18832,0.617366,103.20924,-243.61313,0.40863878,115.854675,-242.10529,0.65240717,0.9914932,0.0,0.010803223,0.041656494,0.038513184,0.23739235,1,-122.10072,7.1217704,17.312532424926758
2309.0,64.845276,-258.2774,0.7179258,76.591545,-249.12091,0.7180389,88.72903,-245.03596,0.63721126,103.20817,-243.56601,0.40388218,115.91792,-242.03607,0.6722215,2.585681,2.9496377,0.4710019,0.04713142,0.09375942,1.3833234,0,-122.35927,41.499702,17.640899658203125
2310.0,63.498215,-259.17117,0.8796784,76.5426,-249.12756,0.81977785,88.63433,-244.89772,0.65929127,103.12247,-243.53633,0.42108542,115.91792,-241.97993,0.7060819,1.6166,0.04939266,0.16756766,0.09069434,0.056137085,0.4735866,0,-122.49455,14.207597,18.15709686279297
2311.0,61.95253,-260.66238,0.94514567,76.24596,-249.12756,0.76064104,88.26243,-244.81557,0.6137856,103.083115,-243.47781,0.44902012,115.91792,-241.87895,0.718926,2.147755,0.29664612,0.38086823,0.07051883,0.100982666,0.7436856,0,-122.74446,22.310568,19.191186904907227
2312.0,61.95253,-260.66238,0.81817484,76.24596,-249.12091,0.7602777,88.04878,-244.62805,0.62100303,103.011116,-243.47781,0.45280692,115.57016,-241.74168,0.7035792,0.0,0.006652832,0.28426492,0.071998596,0.37387386,0.14221133,0,-122.67818,4.26634,19.437023162841797
2313.0,61.95253,-260.66238,0.79473966,76.5426,-248.88402,0.81313896,87.962036,-244.58876,0.60144883,103.00774,-243.28198,0.4673633,115.57016,-241.69952,0.70534384,0.0,0.37962756,0.09522982,0.19586046,0.042160034,0.14406747,0,-122.57533,4.322024,19.477075576782227
2314.0,62.383305,-260.20853,0.58243495,76.88756,-248.42198,0.8253571,87.962036,-244.48004,0.58082545,103.00774,-243.23463,0.49080682,115.57016,-241.56215,0.714797,0.62574226,0.57660353,0.10871887,0.047348022,0.13737488,0.32087275,0,-122.333466,9.626183,19.31977081298828
2315.0,65.46121,-254.98587,0.59287924,77.36522,-246.55768,0.74503493,87.096535,-244.28952,0.59805775,103.00774,-243.21391,0.48214695,115.57016,-241.36424,0.69064385,6.062149,1.9245228,0.8862229,0.020721436,0.1979065,1.8350211,0,-120.83424,55.050632,15.20780086517334
2316.0,65.767044,-253.8013,0.74739575,77.36522,-246.08124,0.7832342,86.12201,-243.6394,0.5867528,103.25018,-243.18454,0.5318373,115.57016,-241.24536,0.67966944,1.2234132,0.47644043,1.1714737,0.24421975,0.118881226,0.6565519,0,-120.34238,19.696556,14.15005111694336
2317.0,65.767044,-253.65509,0.7416767,77.36522,-245.25493,0.756448,86.12201,-243.46118,0.6161031,103.26562,-243.14334,0.51233274,115.60959,-241.24536,0.6647276,0.14620972,0.8263092,0.17822266,0.043994907,0.03942871,0.27103466,0,-120.10397,8.13104,13.981152534484863
2318.0,65.767044,-253.65509,0.82638365,77.46054,-245.2548,0.7071366,86.42662,-242.93509,0.6007964,103.26562,-242.76164,0.5290016,115.46828,-241.24536,0.6726965,0.0,0.09532173,0.6079156,0.3816986,0.14131165,0.21870945,0,-119.92241,6.561283,14.019338607788086
2319.0,64.57468,-253.65509,0.86630535,77.19884,-245.21887,0.722396,86.42662,-242.39386,0.6162248,103.25018,-242.36386,0.5115911,115.46828,-241.24536,0.6980793,1.1923676,0.26415905,0.54122925,0.39808068,0.0,0.51571405,0,-119.72742,15.47142,13.703407287597656
2320.0,62.436974,-255.05568,0.8668581,77.19884,-245.12144,0.6675041,88.15947,-241.52966,0.6250525,103.20913,-242.32544,0.49168321,115.60959,-241.33714,0.6782974,2.555665,0.09742737,1.936389,0.056228407,0.16850176,1.0911044,0,-119.82588,32.73313,14.46683120727539
2321.0,61.734756,-255.06985,0.91570646,77.27812,-244.99405,0.73435533,88.329765,-241.38597,0.63026136,103.00462,-241.65012,0.5172506,115.7177,-241.33714,0.6985305,0.70236015,0.15005234,0.22281836,0.7056093,0.10810852,0.38164628,0,-119.63942,11.449388,14.272721290588379
2322.0,61.734756,-255.37962,0.8678906,77.27812,-244.99405,0.8022887,88.329765,-241.16014,0.66093194,103.00462,-241.52708,0.48128524,115.92004,-241.28297,0.68922794,0.30976868,0.0,0.22583008,0.123031616,0.20946454,0.17754209,0,-119.62077,5.3262625,14.582610130310059
2323.0,61.734756,-255.37962,0.7927497,77.27812,-244.65332,0.7873684,88.49505,-240.982,0.70430547,103.20913,-241.49637,0.49639976,116.12504,-241.28297,0.68089527,0.0,0.34072876,0.24301165,0.20679976,0.20500183,0.19691768,0,-119.510864,5.9075303,14.529979705810547
2324.0,62.859123,-255.37962,0.77041787,77.68496,-244.52306,0.78299075,88.49505,-240.88625,0.71251905,103.144455,-241.3679,0.5309228,116.12504,-241.37946,0.70394284,1.1243668,0.4271832,0.0957489,0.14382526,0.09648132,0.40368372,0,-119.459274,12.110511,14.726279258728027
2325.0,64.771034,-252.68794,0.6632393,78.19173,-243.65367,0.66637784,88.703865,-240.88162,0.6995376,103.35887,-241.29568,0.53372663,116.12504,-241.33417,0.70361793,3.301598,1.0063016,0.20886771,0.22625239,0.045288086,0.96710867,0,-118.72261,29.013258,12.466887474060059
