Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,Tail_dist,Body1_dist,Body2_dist,Body3_dist,Head_dist,avg_dist_vel,jittery,distance_surface,avg_acc,angle
2437.0,138.55205,-509.49347,0.62144756,122.10538,-499.94672,0.724344,109.16672,-494.55,0.5751111,100.31385,-492.8149,0.36578065,89.11644,-491.1801,0.415824,,,,,,,0,-370.5251,,159.6729278564453
2438.0,133.78975,-502.8634,0.68369013,116.13906,-495.686,0.71119905,103.61234,-492.69028,0.6685954,94.07551,-492.38165,0.41328695,88.457954,-492.09924,0.38366348,8.163165,7.3314795,5.85744,6.2533693,1.1306636,6.198254,0,-368.07214,185.94762,166.642333984375
2439.0,128.91463,-497.76852,0.6886893,111.26851,-493.45642,0.61675215,100.26498,-492.7375,0.61411434,92.75323,-492.4463,0.32922217,86.158104,-492.76477,0.24096608,7.051568,5.3566146,3.3476992,1.3238597,2.3942094,4.5099735,0,-366.76266,135.2992,173.32508850097656
2440.0,122.73247,-494.45245,0.61105365,107.558495,-492.63162,0.6133761,99.538185,-492.50064,0.5868228,92.24714,-493.015,0.36476102,85.80975,-493.0225,0.29763335,7.01537,3.800592,0.7644097,0.76129764,0.43332225,3.0211246,0,-366.05246,90.633736,177.78213500976562
2441.0,115.96901,-492.914,0.5495237,105.03462,-491.88995,0.58156645,97.74962,-493.24362,0.60392743,91.53675,-493.42545,0.32044297,85.30008,-493.63925,0.27341938,6.936224,2.6305902,1.9367477,0.8204297,0.8001005,3.0026457,0,-365.95047,90.07937,181.35467529296875
2442.0,111.77543,-490.9207,0.34457475,105.16239,-491.66202,0.39734328,97.84107,-493.154,0.60989606,91.754776,-493.63498,0.38783172,85.40457,-493.95215,0.30231142,4.6432133,0.26130396,0.128052,0.3023894,0.32988328,0.97889584,0,-365.59274,29.366875,186.5576629638672
2443.0,111.46916,-490.91058,0.39823726,104.8565,-491.66534,0.4404717,97.22792,-493.5901,0.61801517,91.5092,-493.94778,0.34221485,85.31522,-494.16214,0.24517421,0.30643332,0.30591103,0.75241923,0.39768597,0.22820921,0.4470544,0,-365.78317,13.411631,187.0868682861328
2444.0,106.84108,-483.1366,0.0937875,107.09886,-491.31192,0.28376567,97.13368,-493.02023,0.42475381,93.32725,-494.32596,0.42004806,84.306564,-495.03644,0.29275152,9.047321,2.270044,0.5775944,1.8569622,1.3348374,1.919872,0,-364.29422,57.596157,207.83726501464844
2445.0,248.81851,-451.26523,0.10297755,102.872055,-493.42453,0.124217495,99.35827,-493.77335,0.29243204,93.08611,-494.6609,0.44520977,84.736565,-495.18655,0.359446,145.51074,4.7253585,2.348609,0.41270363,0.45545042,12.539292,1,-358.59012,376.17874,194.98556518554688
2446.0,248.83179,-450.8761,0.13550718,106.12128,-574.043,0.09383178,101.543594,-493.50626,0.29383567,93.30957,-494.37326,0.43045092,83.9938,-494.90805,0.41085374,0.38935602,80.68395,2.201587,0.36422953,0.7932638,6.4149613,0,-374.46936,192.44884,194.955810546875
2447.0,249.10643,-450.62473,0.11548733,114.009186,-491.94937,0.09389833,101.87804,-492.53162,0.43306255,96.625275,-493.42783,0.50308913,84.95105,-494.29785,0.42577198,0.3723134,82.47174,1.0304245,3.4478605,1.1351984,6.6512117,0,-357.49432,199.53635,194.89830017089844
2448.0,249.1756,-451.70514,0.10987398,258.11746,-458.54272,0.069314644,102.19365,-491.62933,0.40616983,95.9702,-493.14017,0.4966794,83.40003,-494.19238,0.443887,1.0826256,147.92972,0.9558899,0.7154515,1.5545995,7.7371564,1,-350.76996,232.11469,194.37513732910156
2449.0,249.33055,-451.67905,0.08151525,113.39959,-486.77423,0.09075192,104.38961,-491.6852,0.4465127,93.76701,-492.7633,0.50193167,83.44999,-493.92432,0.43892255,0.1571345,147.44585,2.1966717,2.2351854,0.27268174,10.012761,1,-356.29324,300.3828,194.28794860839844
2450.0,249.2267,-451.88818,0.0812528,114.90702,-486.3284,0.19737785,104.078514,-491.48608,0.5652507,91.50425,-492.77,0.49465,80.39612,-492.994,0.14831279,0.23350239,1.5719777,0.36936766,2.262774,3.1924348,1.4330968,0,-356.02133,42.9929,193.6837615966797
2451.0,112.71109,-497.30783,0.09774351,116.35918,-487.9635,0.17979515,104.09305,-491.50882,0.6863104,91.224915,-491.62857,0.48744056,108.781715,-488.15793,0.20946366,143.87306,2.18685,0.02698415,1.1751018,28.794611,12.69218,1,-364.24133,380.76538,113.24082946777344
2452.0,117.978065,-497.67804,0.075400226,121.000336,-488.86166,0.07366086,109.61515,-491.5235,0.66159075,95.69667,-489.90295,0.621698,114.19379,-490.37708,0.1930069,5.27997,4.727267,5.522122,4.793157,5.8493695,5.2348967,0,-364.59665,157.04689,117.39888000488281
2453.0,129.47818,-485.22473,0.11198423,124.51134,-486.3344,0.22773157,112.72653,-489.48132,0.71147,95.1495,-488.18896,0.5459393,83.97208,-486.84686,0.23006463,16.951033,4.325984,3.7217166,1.7992101,30.427195,7.3959384,0,-360.14328,221.87814,182.04151916503906
2454.0,249.20546,-455.4105,0.06496736,123.848816,-487.31958,0.08510482,109.83594,-488.72516,0.62211967,94.0847,-485.11377,0.5832095,82.30986,-482.5109,0.16382943,123.38359,1.1872201,2.9878623,3.254323,4.6436605,8.316362,1,-352.74402,249.49086,189.22315979003906
2455.0,128.84222,-488.52493,0.18390971,123.174576,-489.8182,0.44060552,109.36219,-487.476,0.70286924,90.54318,-480.66064,0.53793925,162.39026,-235.1373,0.16194415,124.83539,2.5879984,1.3359644,5.6896996,260.01263,34.630833,1,-309.2514,1038.9249,82.45801544189453
2456.0,134.37671,-495.80768,0.6888301,118.767075,-489.54346,0.69715583,104.58477,-483.77673,0.4712842,89.882675,-476.3099,0.4873449,162.406,-235.12991,0.15297447,9.147071,4.4160566,6.042219,4.4005904,0.017392877,5.7552795,0,-309.0416,172.65837,83.86286163330078
