video_name,before_led,during_led
d48_01_F,-57882.16440000001,-29067.6152
d48_01_T,-46486.097137,-26047.006536
d48_02_F,-73661.346829,-48164.03716000001
d48_02_S,-30266.520047,-16251.548237
d48_02_T,-47682.906412,-47540.067930000005
d48_03_F,-84078.65534,-36385.747650000005
d48_03_S,-52741.665932,-34142.278332
d48_03_T,-76513.16922000001,-52937.45862
d48_04_F,-64100.603906000004,-38121.49815
d48_04_M,-32979.972141000006,-16082.0567666
d48_04_T,-88277.41433999999,-25436.792173
d48_05_S,-42424.821764,-17859.813608999997
d48_05_T,-88147.93922999999,-34741.790599
d48_06_F,-62932.546525000005,-25771.98146
d48_06_S,-51519.561387,-16439.373047
d48_06_T,-70663.19367000001,-45555.891946
d48_10_T,-63914.698387,-37826.760200000004
d48_11_M,-90335.43324000001,-53550.21867
d48_11_S,-85961.65907000001,-51685.71251
d48_11_T,-83749.82562999999,-44794.98921
d48_12_F,-71357.43802999999,-27731.627317
d48_12_S,-85318.01956,-46486.944229999994
d48_12_T,-107464.57571,-58095.33954
d48_13_M,-107666.57188999999,-62360.86869999999
d48_13_S,-102347.87187,-57976.120039999994
d48_14_M,-72923.400257,-33593.20702
d48_14_T,-85754.76161,-23725.208793
d48_15_T,-97585.19721,-58401.825119999994
d48_16_F,-48460.694663999995,-15638.795907
d48_16_T,-64586.891189,-27113.245294
d48_17_F,-83091.5165,-52161.52233
d48_17_M,-83727.95794,-39722.6871
d48_17_T,-109279.59166,-60876.6671
d48_18_M,-76785.48642999999,-45385.80756
d48_19_F,-38987.283422,-23490.851981
d48_19_M,-76396.15833,-37386.423874
d48_19_S,-44726.063571000006,-18805.931804
d48_19_T,-84530.42848,-38162.06760800001
d48_20_M,-67007.57105900001,-48583.856669999994
d48_21_F,-8300.476518133499,-1780.3621470799999
d48_21_M,-96719.7158,-42764.28147
d48_21_S,-105054.27178,-58404.442350000005
d48_21_T,-89948.30218,-39168.984670000005
d48_22_T,-63292.88773,-35213.84757
d48_7_T,-98009.21174,-50193.72665
d48_8_F,-51020.077636999995,-26757.209487000004
d48_8_M,-38075.766492,-11583.425262
d48_8_T,-91631.35675,-51582.13731
d48_9_F,-89675.69299,-23880.107694
d48_9_T,-84436.56727999999,-30931.120774000003
