video_name,before_led,during_led
d48_01_F,-193.5858341137124,-161.48675111111112
d48_01_T,-155.4718967792642,-144.70559186666668
d48_02_F,-248.85590144932434,-267.57798422222226
d48_02_S,-101.22581955518395,-90.28637909444446
d48_02_T,-159.47460338461536,-264.1114885
d48_03_F,-283.0931156228956,-202.14304250000004
d48_03_S,-176.39353154515052,-189.67932406666668
d48_03_T,-273.2613186428572,-295.73999229050276
d48_04_F,-214.3832906555184,-211.78610083333334
d48_04_M,-110.30091017056859,-89.34475981444444
d48_04_T,-294.2580478,-141.31551207222222
d48_05_S,-141.889036,-99.22118671666665
d48_05_T,-294.8091613043478,-193.00994777222223
d48_06_F,-210.47674423076924,-143.17767477777778
d48_06_S,-172.30622537458194,-91.32985026111112
d48_06_T,-236.3317514046823,-253.0882885888889
d48_10_T,-213.76153306688963,-210.1486677777778
d48_11_M,-302.12519478260873,-297.50121483333334
d48_11_S,-262.8796913455658,-287.1428472777778
d48_11_T,-280.09975127090297,-248.86105116666667
d48_12_F,-261.3825568864469,-154.06459620555555
d48_12_S,-260.11591329268293,-258.2608012777777
d48_12_T,-359.4132966889632,-322.75188633333335
d48_13_M,-360.0888691973244,-346.44927055555553
d48_13_S,-311.087756443769,-322.0895557777777
d48_14_M,-246.36283870608108,-186.6289278888889
d48_14_T,-286.80522277591973,-131.80671551666669
d48_15_T,-326.37189702341135,-324.45458399999995
d48_16_F,-162.0759018862876,-86.88219948333334
d48_16_T,-216.73453419127517,-151.47064410055867
d48_17_F,-277.89804849498324,-289.78623516666664
d48_17_M,-280.0266151839465,-220.68159500000002
d48_17_T,-365.4835841471572,-338.2037061111111
d48_18_M,-257.66941755033554,-252.14337533333335
d48_19_F,-130.39225224749163,-130.50473322777776
d48_19_M,-254.65386110000003,-207.70235485555557
d48_19_S,-135.94548197872342,-104.47739891111111
d48_19_T,-282.7104631438127,-212.0114867111112
d48_20_M,-224.105588826087,-269.9103148333333
d48_21_F,-37.55871727662217,-35.6072429416
d48_21_M,-324.5628046979866,-238.90660039106146
d48_21_S,-320.2874139634146,-324.4691241666667
d48_21_T,-300.8304420735786,-217.60547038888893
d48_22_T,-213.82732341216217,-195.6324865
d48_7_T,-327.790005819398,-278.85403694444443
d48_8_F,-171.78477318855218,-148.6511638166667
d48_8_M,-127.34370064214048,-64.35236256666667
d48_8_T,-306.45938712374584,-286.5674295
d48_9_F,-299.9187056521739,-132.66726496666666
d48_9_T,-282.3965460869565,-171.83955985555556
