video_name,before_led,during_led
d48_01_F,148.64775937357078,142.09566084941227
d48_01_T,218.77236573751952,142.9472128364775
d48_02_F,181.79744344667807,176.8674209382799
d48_02_S,201.39102252669957,190.499250708686
d48_02_T,219.11997569923017,209.017593669643
d48_03_F,252.4585239173788,96.02596538861593
d48_03_S,218.39508339772655,147.0682724012269
d48_03_T,259.54503941706247,226.80844947612485
d48_04_F,215.61100592013187,122.92096404532592
d48_04_M,260.05452708725545,108.17947815789117
d48_04_T,220.00968606432278,62.70696523454454
d48_05_S,178.9718475345784,143.31893948171702
d48_05_T,228.96999476825115,53.531571335262726
d48_06_F,148.7686885758786,173.51822908182578
d48_06_S,206.05826476904062,167.7403832965427
d48_06_T,204.3096643080281,205.42014186647202
d48_10_T,234.40056269144932,181.1157685628368
d48_11_M,266.3555447600757,210.04169286092122
d48_11_S,243.52768860406468,309.7156587812636
d48_11_T,192.08987166004312,167.74149468739827
d48_12_F,281.6047617182845,124.48535850522005
d48_12_S,247.8882046501811,124.37049064851469
d48_12_T,144.29608388449435,164.69268114301894
d48_13_M,179.45831926530818,187.74542297787136
d48_13_S,241.63194931169411,233.50447296566432
d48_14_M,178.40615301841015,113.50269103844961
d48_14_T,204.98746880560017,62.45296097464032
d48_15_T,215.03669645890196,186.19734580318132
d48_16_F,177.09294608763628,92.82572592099508
d48_16_T,181.64387757386137,47.754121664516084
d48_17_F,169.38699635534383,195.37494574652777
d48_17_M,235.00255754201308,96.46228139400482
d48_17_T,292.36580452871164,80.94653187592824
d48_18_M,257.247255821356,276.1933222028944
d48_19_F,140.29706738448164,205.1968375119898
d48_19_M,247.82636635780335,190.5371946780218
d48_19_S,149.55591318704256,106.64656779633629
d48_19_T,178.55976469470903,187.4136746512519
d48_20_M,226.95863195725508,195.49584413104589
d48_21_F,216.5318218260555,225.13429985808003
d48_21_M,199.25045934539514,105.41484670798872
d48_21_S,251.71680566450445,177.47186153464847
d48_21_T,253.10829826342223,188.76613378657234
d48_22_T,138.20836221849595,144.39535909228854
d48_7_T,216.64142781545573,22.83415148390664
d48_8_F,193.67860071130272,206.14314564954904
d48_8_M,225.2035923450687,184.24999563205574
d48_8_T,223.11264618264394,192.3705396440294
d48_9_F,249.0094342804872,110.0631118774414
d48_9_T,143.5285358420981,94.47140205072031
