video_name,before_led,during_led
d48_01_F,715.30609,754.76547
d48_01_T,898.81693,936.16428
d48_02_F,966.5644500000001,1020.48956
d48_02_S,553.9784,538.92233
d48_02_T,1033.00427,1118.70877
d48_03_F,985.60425,864.21262
d48_03_S,554.56264,640.04056
d48_03_T,1170.1809,1136.99777
d48_04_F,925.25677,1060.7253
d48_04_M,1189.65646,1218.8211999999999
d48_04_T,1124.1993,1134.3814
d48_05_S,648.90503,584.27199
d48_05_T,943.7569599999999,1084.2953499999999
d48_06_F,1061.0185999999999,787.00616
d48_06_S,508.27449,515.973
d48_06_T,983.1197999999999,924.1538
d48_10_T,889.49316,959.54013
d48_11_M,1108.26602,1156.72424
d48_11_S,845.27298,927.88763
d48_11_T,1046.6617,924.4338700000001
d48_12_F,1156.90985,1188.8736
d48_12_S,781.8154999999999,697.82785
d48_12_T,1049.4,1041.53174
d48_13_M,1178.76117,1199.7044700000001
d48_13_S,888.2872,897.51648
d48_14_M,1232.5473299999999,1207.77005
d48_14_T,971.13745,898.7273299999999
d48_15_T,986.1041,998.0859
d48_16_F,1118.01233,960.9095500000001
d48_16_T,916.4069,968.73047
d48_17_F,1001.0014,731.80736
d48_17_M,1129.60068,1123.8183
d48_17_T,971.3360299999999,970.45807
d48_18_M,1049.3520800000001,1098.29807
d48_19_F,843.2388000000001,707.80928
d48_19_M,1094.0579,956.0484
d48_19_S,660.80623,626.14693
d48_19_T,966.09326,775.52603
d48_20_M,1150.4102,1154.41983
d48_21_F,1936.22308,1993.52722
d48_21_M,909.1801,913.73752
d48_21_S,548.10175,645.2064
d48_21_T,1131.69025,1003.20706
d48_22_T,490.62817,512.0382999999999
d48_7_T,915.4181,928.3887
d48_8_F,1139.4803000000002,916.32986
d48_8_M,1282.61453,1187.2792
d48_8_T,1090.22083,1088.72125
d48_9_F,1160.5445,932.8089600000001
d48_9_T,1044.90472,948.45276
