Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
2713,634.55066,1135.8346,0.28978068,573.74005,1139.3939,0.70843357,517.2792,1150.9807,0.81598127,455.436,1164.3813,0.6661424,405.17773,1180.9225,0.5242675
2714,624.3644,1135.8346,0.4683031,563.2402,1145.8722,0.7635227,511.80875,1151.6976,0.8689039,449.71765,1164.2382,0.6406885,404.72614,1175.4427,0.44363132
2715,603.911,1150.2902,0.5243675,555.07007,1153.1372,0.79911786,506.793,1154.703,0.7317026,446.92316,1163.9497,0.605259,404.72614,1171.6655,0.5839968
2716,588.06476,1156.3157,0.6745337,545.52075,1154.8955,0.7565251,500.3439,1155.6714,0.82555926,446.64606,1163.9497,0.640656,405.17773,1169.6477,0.5556035
2717,585.4629,1162.0605,0.72295505,537.5482,1157.9895,0.6904721,492.14603,1155.6714,0.7298759,441.79788,1163.7102,0.6194507,405.4707,1169.2028,0.5406985
2718,579.22955,1165.5332,0.67726624,532.054,1158.001,0.7564677,486.6498,1156.5524,0.7232061,434.774,1162.9381,0.5998759,405.61765,1169.2028,0.49015746
2719,579.22955,1165.5332,0.67189574,527.2483,1158.3696,0.7706085,482.739,1156.8241,0.73999745,434.31525,1163.9497,0.6369873,405.98697,1168.9811,0.48620817
2720,579.22955,1165.5332,0.6571333,524.8074,1158.3696,0.7436565,477.60507,1156.5524,0.7477249,434.31525,1162.8845,0.58230114,406.48697,1168.9811,0.48824123
2721,580.9285,1164.5126,0.5974158,524.8074,1157.9895,0.6838357,477.60507,1156.0143,0.72403276,434.31525,1162.8845,0.54192954,407.72983,1169.2382,0.44079408
2722,584.1247,1163.918,0.67406285,524.8074,1156.503,0.6918227,477.60507,1156.0143,0.64538467,438.10153,1164.2858,0.5035627,410.6356,1169.9803,0.4690393
2723,584.1247,1160.3245,0.73639137,525.3596,1155.6047,0.69777393,483.25378,1154.604,0.6255401,438.55142,1164.3071,0.5142142,413.07104,1170.4126,0.48397538
2724,584.1247,1159.1356,0.7528524,525.9778,1153.2942,0.7640376,485.72327,1153.7877,0.6269244,438.62766,1164.2858,0.5083685,416.26428,1172.0325,0.44537687
2725,581.6859,1156.46,0.6761342,526.00604,1151.9115,0.8289633,485.7561,1153.2258,0.62309235,441.69156,1164.2858,0.603961,417.71167,1172.1339,0.48708227
2726,574.20807,1155.8358,0.759769,526.00604,1150.5865,0.8677331,487.20682,1152.8372,0.64054644,445.4368,1164.0363,0.565246,419.52182,1172.1339,0.47928372
2727,567.1572,1154.3788,0.7357398,526.00604,1149.2764,0.8334237,487.52036,1151.9879,0.7288399,445.4368,1164.0363,0.60184133,419.97174,1172.3352,0.49195847
2728,567.1572,1145.3734,0.59891903,526.00604,1146.3662,0.7001522,487.52036,1151.9739,0.70849675,446.98264,1163.637,0.590782,423.47308,1172.1339,0.46389806
2729,560.3776,1145.3042,0.47206017,524.7719,1145.693,0.7600233,487.52036,1151.9739,0.64350593,446.98264,1163.637,0.3567912,432.57498,1171.5333,0.15203092
2730,558.7904,1145.3042,0.8453213,514.7392,1145.693,0.7226423,488.63156,1150.529,0.4358065,448.4582,1163.5785,0.16248494,461.88962,1169.4442,0.095813446
2731,553.17163,1145.3042,0.54441935,503.39432,1145.693,0.61931807,488.63156,1150.347,0.36891463,455.13766,1157.2191,0.07212639,467.78845,1162.6781,0.12162116
2732,523.3825,1148.7196,0.53483224,484.43842,1151.909,0.16815631,491.30054,1150.347,0.16727294,462.94147,1157.2191,0.10267844,469.5489,1162.6781,0.09089099
2733,498.37094,1155.7339,0.27611262,462.51468,1153.0493,0.12905699,500.5355,1156.9755,0.17315117,463.8535,1165.4904,0.18858965,517.1249,1162.6781,0.26235196
2734,456.17856,1155.7339,0.14484406,462.51468,1155.4473,0.19769987,509.3446,1157.4923,0.35189414,514.11523,1164.464,0.5336217,519.8273,1165.8448,0.44036615
2735,453.32547,1148.7196,0.27228874,462.51468,1155.4473,0.23053735,506.43802,1157.4923,0.4117295,525.4569,1164.464,0.43445715,542.1132,1167.8314,0.45977345
2736,451.0818,1149.9319,0.175757,469.67407,1155.4473,0.32331827,506.43802,1157.4923,0.45250404,526.4368,1164.464,0.5668022,550.68164,1169.0803,0.5171944
2737,449.54172,1149.9319,0.3411913,474.7777,1151.0465,0.43910447,509.3446,1157.1986,0.44700277,528.03766,1164.464,0.66132635,554.69025,1170.501,0.519029
2738,449.13962,1149.9319,0.4512744,475.4547,1151.0465,0.6178833,510.9613,1157.1986,0.56501526,529.24603,1164.464,0.5730748,561.7536,1170.5043,0.42570654
2739,449.0265,1152.5723,0.4632332,481.02438,1151.0465,0.684171,515.60223,1157.1986,0.5869973,536.92804,1163.9672,0.5482489,567.8726,1170.5043,0.53961027
2740,449.0265,1157.2786,0.53236735,485.07892,1151.623,0.73995566,521.5744,1158.9008,0.46168134,542.40045,1164.788,0.47777268,570.48773,1170.501,0.50433385
2741,449.13962,1163.4933,0.666075,490.4798,1154.1841,0.67375416,530.9473,1159.5265,0.50449973,547.52765,1165.76,0.5256731,577.3017,1170.0598,0.46541536
2742,451.05267,1163.4933,0.603648,499.62097,1155.1744,0.6895226,542.09204,1162.369,0.3949046,552.8744,1165.76,0.47990164,582.662,1169.9252,0.47100735
2743,457.97195,1163.4933,0.6658602,503.0531,1155.2446,0.6852193,543.4518,1162.369,0.4350047,553.808,1164.0966,0.43053332,585.91095,1169.8523,0.50764734
2744,462.5888,1162.058,0.64159375,511.5052,1155.2446,0.72965664,543.72125,1162.369,0.38842756,554.4372,1164.0966,0.3776143,585.91095,1169.1458,0.50282484
2745,465.51288,1160.2179,0.6665959,511.87308,1155.1744,0.74373704,544.3049,1161.1278,0.37080815,555.0044,1164.0966,0.3847406,586.07227,1168.5981,0.5170992
2746,467.67453,1157.3494,0.65874195,513.0887,1154.3284,0.76267636,544.3049,1160.926,0.39350113,555.1532,1164.0966,0.40127417,586.07227,1168.5981,0.524374
2747,468.0339,1156.1825,0.7077706,514.1743,1153.8535,0.7135121,543.72125,1160.6971,0.35329124,554.4372,1164.2281,0.41132665,585.6085,1168.5981,0.49194127
2748,468.19128,1152.7725,0.7546734,515.04474,1151.6364,0.73961675,544.3049,1160.2012,0.33912322,554.4372,1164.2281,0.41634852,585.272,1168.8204,0.4971663
2749,468.31284,1149.0978,0.81007826,515.3735,1150.966,0.6527355,544.9214,1157.9926,0.3133285,555.1532,1164.3696,0.4242904,585.6085,1168.8204,0.52635974
2750,471.187,1144.692,0.7440004,515.3735,1150.3772,0.5884984,544.9214,1157.9836,0.27474922,555.88617,1164.2281,0.36951527,585.6085,1168.8204,0.51200813
