Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
2538,678.0664,1177.4779,0.9575936,727.3638,1128.854,0.7549331,787.7886,1093.5573,0.6718152,851.2707,1067.1127,0.27992815,914.19824,1046.6445,0.60771435
2539,668.6425,1176.796,1.0,720.7348,1123.8367,0.76258975,787.7886,1090.299,0.7244296,851.2707,1063.7686,0.40009642,914.09625,1044.9197,0.65086436
2540,656.1122,1172.9558,0.8761865,717.6229,1116.2905,0.87740505,787.20605,1086.1917,0.7914006,851.2525,1061.103,0.37236524,913.47186,1042.1974,0.670211
2541,651.16534,1172.1965,0.8953467,715.1702,1111.487,0.95129895,787.20605,1081.3984,0.77767974,846.0059,1058.866,0.3920229,912.31134,1040.8228,0.64345145
2542,645.87286,1166.6165,0.9350014,714.92566,1107.7523,0.928709,782.8117,1077.7046,0.6909283,843.8851,1057.255,0.41211027,912.0519,1040.7985,0.6200709
2543,645.7659,1158.9779,0.8892988,714.1313,1104.3212,0.84019995,782.8117,1076.9136,0.7657011,843.8851,1055.3973,0.39061567,912.0519,1039.9287,0.66601884
2544,645.7659,1154.4164,0.8880461,714.1313,1098.4327,0.79310256,782.1533,1075.9944,0.75947654,843.8851,1053.9941,0.45971146,912.0469,1038.1016,0.6337584
2545,645.7659,1143.7039,0.90227973,714.1313,1097.0056,0.8767572,782.8117,1068.5051,0.75476986,843.4303,1051.0001,0.47754338,912.0469,1037.8115,0.49771333
2546,645.80194,1120.1923,0.93327445,715.20306,1085.2378,0.94344306,783.6108,1061.5809,0.74829364,842.3467,1046.4431,0.38187703,901.08105,1037.8115,0.6311088
2547,674.6606,1081.1885,0.8512772,743.13666,1057.5894,0.7853204,792.2801,1047.593,0.69017035,847.42334,1039.6028,0.4734925,892.4514,1036.8711,0.75720954
2548,687.7441,1053.55,0.97294205,756.8764,1037.6189,0.86837417,800.22107,1034.8549,0.6124694,847.42334,1033.2736,0.4634173,888.78125,1036.8711,0.7555713
2549,701.9855,1029.2659,0.86747324,776.52515,1026.6183,0.8339589,822.59766,1027.6803,0.649179,852.5068,1029.8226,0.5443146,888.5151,1036.8711,0.70104665
2550,726.1791,1024.6561,0.72630626,789.7034,1020.8965,0.92659104,823.9433,1021.0683,0.6681495,855.8976,1024.8027,0.6589946,888.5151,1031.9219,0.6185136
2551,730.9861,1024.4044,0.9427,795.1606,1014.1607,0.8722845,830.948,1009.38617,0.8097026,859.76025,1020.8067,0.7281645,888.78125,1031.9219,0.6630933
2552,756.28094,1009.87396,0.91122013,813.1263,1003.8609,0.82837725,843.6297,1009.09314,0.5656426,868.7052,1020.8067,0.6535998,888.78125,1031.605,0.65021217
2553,787.5882,1009.87396,1.0,832.06824,993.3483,0.6145504,843.6297,1008.22687,0.37282363,868.7052,1019.8693,0.57247037,897.38086,1030.6251,0.4914241
2554,810.31976,1009.87396,0.61029124,837.08167,991.0093,0.40532097,847.287,1006.3344,0.4166711,868.7052,1019.46436,0.47325137,900.80835,1027.8289,0.39525542
2555,810.31976,987.0794,0.40115887,840.852,990.6484,0.324322,849.5681,1006.3344,0.4506063,868.7052,1017.71814,0.5212653,903.336,1025.3337,0.60081714
2556,810.31976,985.0941,0.41374716,840.852,985.94696,0.35763302,849.5681,1005.85535,0.38082653,871.53766,1017.5753,0.5362693,903.37476,1024.2675,0.5878382
2557,808.4524,985.0941,0.6582257,840.7324,985.35364,0.52106375,854.854,1005.18536,0.32793137,876.0549,1015.79224,0.52108663,908.5399,1021.2293,0.55398315
2558,808.4524,980.1448,0.94763535,840.7324,985.35364,0.5238686,858.85474,1001.3605,0.3083784,877.9175,1013.68884,0.6085719,910.20953,1018.58734,0.67199016
2559,808.4524,980.1448,0.8968257,838.084,984.19775,0.4899953,858.85474,1001.3605,0.32007754,877.9175,1011.91296,0.6080186,910.68884,1016.7795,0.71434236
2560,810.64124,980.1448,0.72129655,835.43005,984.19775,0.3720809,856.27106,1001.3605,0.40463462,877.9175,1010.6237,0.5757143,913.473,1014.596,0.6031018
2561,1058.4031,1874.9733,0.38953575,832.98395,984.19775,0.30136412,854.854,1003.0626,0.4896837,874.3901,1010.23096,0.5621715,914.7107,1013.26605,0.7995319
2562,1058.4031,1874.9733,0.385626,832.731,993.3114,0.29307252,845.4998,1004.1552,0.37964964,869.6934,1009.8554,0.58011353,914.7107,1012.6572,0.74553335
2563,1058.4031,1874.9733,0.40197608,826.036,994.8533,0.29795516,840.14154,1004.3676,0.41366813,869.6934,1009.3385,0.59728897,914.7107,1012.56665,0.76929665
2564,1058.0304,1873.2993,0.3880501,825.8396,994.88,0.2899194,840.03284,1006.4425,0.36664692,869.6934,1007.8717,0.66971797,915.04663,1011.53894,0.7847133
2565,1058.0304,1873.2993,0.41732398,824.30054,994.88,0.31769103,839.39825,1008.6728,0.3997146,871.80316,1007.51794,0.66143507,915.06506,1010.4995,0.7931754
2566,1058.0304,1873.2993,0.4179905,819.54645,994.88,0.20738332,838.0793,1008.4305,0.41161263,871.9381,1007.4854,0.57593614,915.82263,1009.8733,0.79400736
2567,1058.0558,1873.8203,0.41868874,811.29675,1003.13165,0.16561255,837.3867,1008.4305,0.4056829,871.9381,1007.4854,0.55057114,915.82263,1009.5993,0.79586226
2568,1058.1516,1875.0204,0.40445274,803.2577,1005.6664,0.17341393,837.32837,1008.4305,0.4019593,871.9381,1007.51794,0.61964136,915.82263,1009.37787,0.7712274
2569,1058.1819,1875.1908,0.40575507,800.42413,1006.0188,0.20928723,831.0048,1008.3092,0.39983052,870.6264,1007.51794,0.5987496,915.82263,1009.11365,0.7788518
2570,1058.1819,1875.1908,0.37281612,800.42413,1006.15314,0.2660328,831.0048,1008.3092,0.46150544,869.79834,1007.9933,0.54802436,915.82263,1009.11365,0.7776207
2571,1058.1516,1875.1908,0.37699333,800.42413,1006.15314,0.262048,831.0048,1008.3092,0.55359393,869.79834,1008.51666,0.5282903,916.58704,1009.11365,0.79483366
2572,1057.3447,1870.6226,0.38830003,802.8285,1006.15314,0.29053086,831.2932,1008.3092,0.5538422,869.565,1008.67377,0.514808,916.58704,1009.4655,0.7962739
2573,1057.216,1870.4493,0.41041937,805.78296,1007.04956,0.37282833,831.41815,1008.3092,0.55651295,869.79834,1009.21515,0.5134071,916.58704,1009.66846,0.7999035
2574,1057.216,1870.4493,0.76909786,805.78296,1007.04956,0.80172557,831.41815,1007.57074,0.6243942,869.4786,1009.21515,0.5138624,916.36176,1010.5953,0.86540973
2575,776.5194,1026.7445,0.7814362,806.5602,1004.1106,0.7994125,831.41815,1006.9741,0.58892107,869.88715,1009.21515,0.5172239,915.1903,1010.9576,0.88330203
2576,776.5194,1018.37024,0.40724313,811.2805,1004.1106,0.5445507,834.2124,1002.7938,0.7301684,871.0828,1006.6491,0.5769303,915.1903,1011.3551,0.7799111
2577,787.93164,1026.7445,0.82459563,820.0913,992.4391,0.7964514,851.0523,994.2165,0.7389242,880.8349,1005.60236,0.7461483,915.1903,1012.65717,0.75176144
2578,808.84125,1002.18256,0.70340097,836.1714,977.91205,0.75774,865.66516,991.55225,0.59019625,891.2903,1003.877,0.5260956,934.11835,1012.9028,0.48302796
2579,808.84125,1002.18256,0.41853955,836.4606,969.5136,0.27701312,866.5799,987.45795,0.70366913,899.4413,1003.3901,0.7107664,934.5027,1017.9255,0.5880374
2580,912.6535,968.76483,0.88029766,864.1143,965.81226,0.76389813,896.0418,978.6801,0.7112762,906.3748,999.4455,0.37824044,937.34973,1029.1016,0.22521645
2581,912.6535,968.76483,0.4232633,891.0169,959.72034,0.45301288,898.03516,978.6801,0.69241184,908.6043,999.4455,0.6520395,943.07135,1029.2261,0.89046824
2582,887.7491,951.5231,0.4815157,891.97266,958.44556,0.500402,899.0437,978.6801,0.6064104,912.6712,999.4455,0.48976567,944.5712,1029.2568,0.7149824
2583,912.6535,951.5231,0.443978,896.4139,958.22784,0.6523752,911.5867,978.93085,0.6027529,915.3564,1008.2154,0.4045327,944.80194,1039.6829,0.3870859
2584,912.6535,951.5231,0.6266518,913.81604,958.44556,0.4588434,911.5867,987.0938,0.48463804,915.3564,1008.9063,0.43126935,947.46423,1040.9741,0.41095528
2585,943.25385,951.5231,0.42501158,913.81604,959.72034,0.35113055,911.5867,989.23846,0.603624,918.67645,1011.6925,0.59781015,947.46423,1043.3691,0.6183892
2586,943.25385,949.2412,0.89482135,913.81604,970.1635,0.28579676,906.2832,989.40576,0.5357429,915.3564,1013.92896,0.34159088,948.0049,1048.1948,0.67135257
2587,948.84845,954.60406,0.7312744,907.21313,970.1635,0.36542276,901.7229,991.97626,0.48324534,914.54364,1014.8389,0.38114777,949.6644,1049.7986,0.6173952
2588,948.84845,954.60406,0.43569496,883.8766,970.1635,0.40408006,893.39246,991.97626,0.5218938,914.223,1017.10364,0.5471752,949.7321,1049.7986,0.5731495
2589,1058.1099,1874.3932,0.40686008,870.79834,970.1635,0.33740023,893.3267,992.9658,0.56257045,908.92883,1017.10364,0.5877671,949.7321,1049.7986,0.5712681
2590,1058.2505,1874.3932,0.42294222,865.63275,969.0808,0.32324815,882.47015,992.9658,0.72857803,905.6485,1015.772,0.6721213,949.6644,1048.5232,0.5986116
