Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
2812,902.66296,1135.5222,0.56059444,948.29193,1111.0295,0.49155456,966.8085,1093.9321,0.25440583,166.52158,1497.4586,0.34859464,1016.3704,1012.5295,0.41532713
2813,910.65295,1135.5222,0.5361274,954.6553,1101.8076,0.4719924,966.8085,1093.9321,0.2219334,166.52158,1497.4586,0.32968545,1016.3704,1007.98914,0.3864695
2814,918.5678,1135.2372,0.5737561,955.97363,1098.8977,0.45222467,969.04114,1087.6707,0.24360076,166.72836,1497.4586,0.34917557,1017.3373,1004.89465,0.38620508
2815,929.4044,1132.0287,0.6841301,955.97363,1098.8977,0.4084919,972.3945,1080.73,0.23487508,166.72836,1497.7296,0.35639217,1018.64886,1002.7134,0.44932175
2816,934.7962,1130.673,0.5145794,955.97363,1098.8977,0.38935566,974.71436,1074.2567,0.30807894,166.72836,1497.7296,0.34245804,1016.01294,997.51654,0.3869016
2817,944.21375,1128.3525,0.4197329,178.97812,1639.6082,0.27421105,974.71436,1074.2567,0.23329358,166.44855,1497.7296,0.3446399,1015.8045,995.3263,0.48290187
2818,947.21405,1128.3525,0.58594406,178.96309,1639.6082,0.27342543,988.7648,1060.5759,0.21166848,166.22595,1497.9176,0.34019032,1015.8045,993.9947,0.50053525
2819,948.5698,1128.3525,0.62022877,178.90129,1639.8586,0.28511998,992.1532,1024.2112,0.2191697,166.20273,1498.1671,0.3423182,1014.0723,991.81995,0.5727146
2820,953.3557,1128.3525,0.5149114,178.93294,1639.8586,0.24898094,992.1532,1020.07495,0.24997073,166.12782,1498.1671,0.34692934,1014.0723,988.80225,0.5073578
2821,966.02454,1128.3525,0.352751,178.91225,1640.251,0.24712637,992.3381,1016.30664,0.23264755,166.12384,1497.9176,0.3398923,1015.8045,985.50836,0.4281514
2822,969.08325,1106.3422,0.28842252,178.92543,1640.251,0.2342313,992.3381,1016.30664,0.28306356,166.12384,1497.8823,0.3437183,1022.88257,980.51166,0.4371079
2823,969.08325,1104.7546,0.35771304,178.92543,1640.251,0.23737204,992.1532,1016.30664,0.22787541,166.12384,1497.8352,0.32835826,1022.88257,976.2307,0.41841897
2824,969.08325,1101.4121,0.32316685,178.93294,1639.4618,0.22002684,989.1443,1024.4794,0.2724954,165.86966,1212.5498,0.37273902,1022.88257,973.4348,0.38178468
2825,947.27155,1094.6403,0.4387124,960.3805,1058.2198,0.29419032,988.15686,1028.7828,0.28849962,166.12384,1211.5947,0.33485666,1024.251,971.6917,0.3157488
