scorer,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,Tail,Tail,Tail,Body1,Body1,Body1,Body2,Body2,Body2,Body3,Body3,Body3,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,893.624,1572.544,0.8190000057220459,844.53,1586.234,0.9850000143051147,827.754,1602.9,0.6430000066757202,804.39,1612.701,0.7739999890327454,132.69,796.168,0.9850000143051147
1,893.785,1572.849,0.7329999804496765,844.53,1587.355,0.9919999837875366,827.969,1602.931,0.8510000109672546,804.539,1612.701,0.8529999852180481,772.849,1645.053,0.9890000224113464
2,893.785,1573.194,0.30799999833106995,845.567,1587.492,0.9319999814033508,827.991,1602.931,0.8820000290870667,804.659,1612.701,0.8880000114440918,775.377,1645.132,0.9950000047683716
3,893.624,1579.318,0.675000011920929,845.567,1587.783,0.9459999799728394,827.991,1602.931,0.5540000200271606,804.539,1612.701,0.7870000004768372,779.54,1645.86,0.9980000257492065
4,893.624,1579.456,0.1379999965429306,846.045,1587.783,0.972000002861023,827.991,1603.06,0.4560000002384186,804.659,1612.496,0.8270000219345093,779.685,1645.86,0.996999979019165
5,893.212,1579.6,0.1720000058412552,846.131,1587.783,0.9879999756813049,827.969,1602.936,0.27900001406669617,804.659,1612.496,0.8019999861717224,779.715,1645.86,0.9950000047683716
6,893.181,1586.576,0.1420000046491623,851.165,1587.741,0.9919999837875366,827.991,1602.936,0.6000000238418579,804.48,1612.604,0.7699999809265137,779.715,1645.86,0.9980000257492065
7,893.036,1586.576,0.12200000137090683,851.844,1587.741,0.9950000047683716,828.522,1602.936,0.5519999861717224,804.48,1612.857,0.8849999904632568,780.032,1645.659,0.9990000128746033
8,892.986,1579.807,0.07100000232458115,853.216,1587.741,0.9990000128746033,828.522,1612.172,0.3880000114440918,804.48,1612.857,0.8610000014305115,780.032,1645.659,0.996999979019165
