name,start time(s),end time(s),start frame,end frame
160_M.mp4,88.49,93.46,2653.0,2802.0
155_S.mp4,89.52,93.26,2684.0,2796.0
157_F.mp4,119.92,123.89,3595.0,3714.0
153_T.mp4,89.56,93.53,2685.0,2804.0
144_M.mp4,90.29,94.26,2707.0,2826.0
151_T.mp4,89.32,93.29,2678.0,2797.0
151_T.mp4,149.32,153.29,4476.0,4595.0
155_F.mp4,88.99,92.89,2668.0,2785.0
151_F.mp4,89.39,93.36,2680.0,2799.0
153_S.mp4,90.39,94.29,2710.0,2827.0
157_T.mp4,89.56,93.53,2685.0,2804.0
157_T.mp4,149.58,153.55,4484.0,4603.0
153_F.mp4,89.12,93.09,2672.0,2791.0
151_S.mp4,90.62,94.56,2717.0,2835.0
150_T.mp4,89.42,93.43,2681.0,2801.0
149_T.mp4,89.96,93.93,2697.0,2816.0
156_S.mp4,90.92,94.89,2726.0,2845.0
145_M.mp4,90.52,94.49,2714.0,2833.0
152_T.mp4,89.42,93.39,2681.0,2800.0
156_T.mp4,89.59,93.56,2686.0,2805.0
149_S.mp4,89.29,93.26,2677.0,2796.0
150_S.mp4,91.52,95.43,2744.0,2861.0
152_F.mp4,89.52,93.49,2684.0,2803.0
152_F.mp4,149.55,153.52,4483.0,4602.0
152_S.mp4,88.19,92.13,2644.0,2762.0
150_F.mp4,89.12,93.09,2672.0,2791.0
150_F.mp4,149.35,153.32,4477.0,4596.0
154_T.mp4,137.67,141.64,4127.0,4246.0
154_T.mp4,148.72,152.69,4458.0,4577.0
149_F.mp4,90.59,94.56,2716.0,2835.0
149_F.mp4,150.62,154.62,4515.0,4635.0
143_M.mp4,90.76,94.73,2721.0,2840.0
158_T.mp4,88.32,92.29,2648.0,2767.0
156_M.mp4,90.62,94.56,2717.0,2835.0
143_T.mp4,82.92,86.89,2486.0,2605.0
154_M.mp4,90.66,94.59,2718.0,2836.0
145_S.mp4,89.09,92.99,2671.0,2788.0
143_F.mp4,90.29,94.26,2707.0,2826.0
149_M.mp4,89.49,93.43,2683.0,2801.0
147_T.mp4,90.59,94.56,2716.0,2835.0
158_S.mp4,90.12,94.09,2702.0,2821.0
158_S.mp4,150.12,154.09,4500.0,4619.0
150_M.mp4,90.96,94.93,2727.0,2846.0
152_M.mp4,90.59,94.56,2716.0,2835.0
158_F.mp4,89.62,93.46,2687.0,2802.0
145_T.mp4,90.09,94.06,2701.0,2820.0
143_S.mp4,89.19,93.19,2674.0,2794.0
160_S.mp4,93.89,98.87,2815.0,2964.0
155_M.mp4,90.92,94.89,2726.0,2845.0
144_S.mp4,89.52,93.46,2684.0,2802.0
146_F.mp4,89.62,93.59,2687.0,2806.0
146_S.mp4,120.25,124.22,3605.0,3724.0
146_S.mp4,180.21,184.22,5402.0,5522.0
159_T.mp4,88.72,92.69,2660.0,2779.0
157_M.mp4,176.71,179.65,5297.0,5385.0
160_F.mp4,90.82,95.80,2723.0,2872.0
144_T.mp4,89.89,93.86,2695.0,2814.0
160_T.mp4,77.18,82.15,2314.0,2463.0
160_T.mp4,137.27,142.24,4115.0,4264.0
148_M.mp4,90.79,94.76,2722.0,2841.0
148_M.mp4,150.82,154.75,4521.0,4639.0
151_M.mp4,90.56,94.39,2715.0,2830.0
151_M.mp4,151.35,154.42,4537.0,4629.0
127_M.mp4,81.18,85.15,2434.0,2553.0
127_M.mp4,141.17,145.15,4232.0,4351.0
124_M.mp4,87.85,91.79,2634.0,2752.0
124_M.mp4,147.85,151.78,4432.0,4550.0
124_F.mp4,92.13,96.10,2762.0,2881.0
126_F.mp4,91.66,95.60,2748.0,2866.0
126_T.mp4,88.96,92.93,2667.0,2786.0
124_T.mp4,87.99,91.93,2638.0,2756.0
127_F.mp4,93.56,97.56,2805.0,2925.0
127_S.mp4,85.39,89.32,2560.0,2678.0
125_F.mp4,92.69,96.66,2779.0,2898.0
136_F.mp4,90.59,94.56,2716.0,2835.0
136_S.mp4,87.99,91.99,2638.0,2758.0
142_M.mp4,82.02,85.65,2459.0,2568.0
142_M.mp4,142.74,145.45,4279.0,4360.0
140_M.mp4,88.99,92.96,2668.0,2787.0
137_M.mp4,86.79,90.76,2602.0,2721.0
137_M.mp4,177.04,179.58,5307.0,5383.0
141_T.mp4,87.35,93.83,2619.0,2813.0
141_T.mp4,150.25,155.09,4504.0,4649.0
141_S.mp4,88.39,92.33,2650.0,2768.0
141_S.mp4,148.52,152.45,4452.0,4570.0
139_S.mp4,88.25,92.23,2646.0,2765.0
139_F.mp4,90.56,94.53,2715.0,2834.0
141_F.mp4,90.26,94.23,2706.0,2825.0
136_M.mp4,88.86,92.79,2664.0,2782.0
136_M.mp4,172.24,178.61,5163.0,5354.0
142_S.mp4,87.92,91.72,2636.0,2750.0
142_S.mp4,147.75,151.72,4429.0,4548.0
138_F.mp4,18.15,24.62,545.0,739.0
138_F.mp4,89.46,93.46,2682.0,2802.0
138_S.mp4,89.06,93.03,2670.0,2789.0
138_S.mp4,149.05,153.02,4468.0,4587.0
142_F.mp4,90.96,94.96,2727.0,2847.0
140_S.mp4,89.32,92.79,2678.0,2782.0
112_S.mp4,77.58,81.55,2326.0,2445.0
112_W.mp4,152.95,156.92,4585.0,4704.0
116_S.mp4,91.59,95.13,2746.0,2852.0
113_SU.mp4,89.46,93.43,2682.0,2801.0
112_T.mp4,91.59,95.56,2746.0,2865.0
114_S.mp4,91.56,95.53,2745.0,2864.0
117_SU.mp4,88.79,92.76,2662.0,2781.0
117_SU.mp4,148.78,152.75,4460.0,4579.0
113_S.mp4,84.35,88.32,2529.0,2648.0
117_W.mp4,116.25,120.22,3485.0,3604.0
117_T.mp4,79.48,83.45,2383.0,2502.0
117_T.mp4,139.47,143.44,4181.0,4300.0
117_S.mp4,91.42,95.40,2741.0,2860.0
113_W.mp4,152.85,155.42,4582.0,4659.0
111_T.mp4,73.01,76.91,2189.0,2306.0
112_SU.mp4,87.52,91.49,2624.0,2743.0
114_SU.mp4,84.22,88.19,2525.0,2644.0
110_S.mp4,90.69,94.66,2719.0,2838.0
110_S.mp4,150.95,154.89,4525.0,4643.0
101_M.mp4,90.86,94.83,2724.0,2843.0
110_F.mp4,90.29,94.26,2707.0,2826.0
109_T.mp4,87.52,91.46,2624.0,2742.0
107_M.mp4,89.09,93.06,2671.0,2790.0
110_T.mp4,90.32,94.29,2708.0,2827.0
110_T.mp4,150.32,154.29,4506.0,4625.0
105_M.mp4,90.42,94.36,2711.0,2829.0
105_M.mp4,150.42,154.39,4509.0,4628.0
108_F.mp4,169.27,172.11,5074.0,5159.0
102_M.mp4,119.59,123.56,3585.0,3704.0
108_T.mp4,91.09,95.03,2731.0,2849.0
106_M.mp4,5.51,8.84,166.0,266.0
106_M.mp4,87.39,91.36,2620.0,2739.0
102_S.mp4,88.99,92.96,2668.0,2787.0
