name,start time(s),end time(s),start frame,end frame,x,y
d48_70_M1.mp4,59.89,64.86,1796.0,1945.0,418,833
d48_37_M1.mp4,88.25,93.26,2646.0,2796.0,489,817
d48_44_M1.mp4,89.22,94.19,2675.0,2824.0,432,842
d48_44_M1.mp4,149.22,154.19,4473.0,4622.0,432,842
d48_85_M1.mp4,60.13,65.10,1803.0,1952.0,420,696
d48_23_M1.mp4,117.55,122.52,3524.0,3673.0,461,517
d48_76_M1.mp4,58.79,63.76,1763.0,1912.0,466,767
d48_66_M1.mp4,58.83,63.80,1764.0,1913.0,391,754
d48_55_M1.mp4,59.13,64.13,1773.0,1923.0,426,806
d48_47_M1.mp4,90.26,94.09,2706.0,2821.0,516,708
d48_63_M1.mp4,60.53,65.50,1815.0,1964.0,546,896
d48_26_M1.mp4,85.69,90.66,2569.0,2718.0,407,532
d48_49_M1.mp4,60.43,65.33,1812.0,1959.0,420,929
d48_43_M1.mp4,91.19,96.10,2734.0,2881.0,417,760
d48_83_Sun1.mp4,34.53,39.44,1036.0,1183.0,424,467
d48_66_S1.mp4,62.03,67.00,1860.0,2009.0,447,812
d48_52_S1.mp4,89.76,94.63,2691.0,2837.0,439,666
d48_23_S1.mp4,89.26,94.23,2676.0,2825.0,487,691
d48_35_S1.mp4,88.29,94.43,2647.0,2831.0,260,536
d48_76_Sun1.mp4,34.23,39.24,1027.0,1177.0,408,542
d48_85_Sun1.mp4,34.73,39.67,1042.0,1190.0,388,515
d48_37_S1.mp4,88.39,93.39,2650.0,2800.0,486,553
d48_58_S1.mp4,90.29,95.26,2707.0,2856.0,441,518
d48_26_S1.mp4,88.35,93.36,2649.0,2799.0,334,694
d48_55_S1.mp4,91.09,96.06,2731.0,2880.0,452,488
d48_63_S1.mp4,89.96,94.96,2697.0,2847.0,467,542
d48_63_S1.mp4,177.38,179.88,5317.0,5392.0,467,542
d48_76_Sat1.mp4,38.81,43.81,1164.0,1314.0,413,488
d48_77_Sat1.mp4,30.20,35.17,906.0,1055.0,390,556
d48_66_F1.mp4,60.09,65.06,1802.0,1951.0,438,743
d48_23_F1.mp4,87.45,92.43,2622.0,2771.0,454,722
d48_48_F1.mp4,85.55,90.52,2565.0,2714.0,474,349
d48_48_F1.mp4,97.30,100.10,2917.0,3001.0,474,349
d48_83_Sat1.mp4,30.66,35.60,920.0,1068.0,452,553
d48_35_F1.mp4,87.79,92.76,2632.0,2781.0,322,570
d48_44_F1.mp4,88.79,93.76,2662.0,2811.0,666,594
d48_58_F1.mp4,61.16,66.17,1834.0,1984.0,406,778
d48_37_F1.mp4,89.16,93.99,2673.0,2818.0,519,587
d48_43_F1.mp4,89.22,92.99,2675.0,2788.0,359,552
d48_49_F1.mp4,85.42,90.42,2561.0,2711.0,504,556
d48_26_F1.mp4,89.09,94.06,2671.0,2820.0,383,715
d48_47_F1.mp4,78.48,83.42,2353.0,2501.0,201,215
d48_55_F1.mp4,60.23,65.23,1806.0,1956.0,386,742
d48_35_T1.mp4,64.43,69.34,1932.0,2079.0,326,746
d48_85_Thu1.mp4,30.43,35.40,913.0,1062.0,413,722
d48_76_Thu1.mp4,30.43,35.44,913.0,1063.0,413,672
d48_77_Thu1.mp4,30.50,35.47,915.0,1064.0,327,597
d48_63_T1.mp4,62.20,67.17,1865.0,2014.0,545,862
d48_55_T1.mp4,60.26,65.23,1807.0,1956.0,384,780
d48_80_Thu1.mp4,30.43,35.40,913.0,1062.0,484,764
d48_26_T1.mp4,88.42,93.39,2651.0,2800.0,364,494
d48_62_M1.mp4,60.33,65.33,1809.0,1959.0,501,886
d48_25_M1.mp4,105.27,110.24,3156.0,3305.0,378,663
d48_46_M1.mp4,149.78,154.65,4490.0,4636.0,385,767
d48_39_M1.mp4,89.32,94.29,2678.0,2827.0,524,753
d48_27_M1.mp4,89.52,94.49,2684.0,2833.0,479,451
d48_40_M1.mp4,86.89,91.79,2605.0,2752.0,291,771
d48_40_M1.mp4,146.85,151.75,4402.0,4549.0,291,771
d48_50_M1.mp4,89.22,94.23,2675.0,2825.0,579,864
d48_36_M1.mp4,88.59,93.56,2656.0,2805.0,385,742
d48_24_M1.mp4,101.40,106.41,3040.0,3190.0,367,605
d48_63_M1.mp4,60.53,65.50,1815.0,1964.0,546,896
d48_38_M1.mp4,89.96,94.93,2697.0,2846.0,444,699
d48_34_M1.mp4,90.42,95.40,2711.0,2860.0,502,710
d48_73_M1.mp4,60.06,65.03,1801.0,1950.0,467,772
d48_41_M1.mp4,88.99,93.96,2668.0,2817.0,390,797
d48_75_M1.mp4,59.86,64.83,1795.0,1944.0,442,775
d48_51_M1.mp4,59.93,64.86,1797.0,1945.0,407,768
d48_33_S1.mp4,89.59,94.56,2686.0,2835.0,457,660
d48_82_Sun1.mp4,31.26,36.24,938.0,1087.0,680,570
d48_74_S1.mp4,61.80,66.77,1853.0,2002.0,492,735
d48_40_S1.mp4,84.78,89.76,2542.0,2691.0,297,710
d48_60_S1.mp4,90.12,95.09,2702.0,2851.0,426,597
d48_27_S1.mp4,88.22,93.19,2645.0,2794.0,458,254
d48_39_S1.mp4,88.96,93.63,2667.0,2807.0,534,733
d48_56_S1.mp4,89.66,94.63,2688.0,2837.0,385,386
d48_62_S1.mp4,91.06,96.03,2730.0,2879.0,464,501
d48_54_S1.mp4,90.96,95.93,2727.0,2876.0,306,373
d48_84_Sun1.mp4,34.30,39.31,1029.0,1179.0,492,465
d48_25_S1.mp4,88.19,93.16,2644.0,2793.0,339,708
d48_75_S1.mp4,59.43,64.36,1782.0,1930.0,485,748
d48_78_Sun1.mp4,34.33,39.31,1030.0,1179.0,449,592
d48_79_Sun1.mp4,33.90,38.91,1017.0,1167.0,333,504
d48_81_Sun1.mp4,32.93,37.90,988.0,1137.0,350,588
d48_38_S1.mp4,88.39,93.39,2650.0,2800.0,468,683
d48_38_S1.mp4,148.38,153.39,4448.0,4598.0,468,683
d48_57_S1.mp4,90.29,95.26,2707.0,2856.0,612,451
d48_57_S1.mp4,150.28,155.26,4505.0,4654.0,612,451
d48_36_S1.mp4,89.36,94.29,2679.0,2827.0,339,477
d48_63_S1.mp4,89.96,94.96,2697.0,2847.0,467,542
d48_63_S1.mp4,177.38,179.88,5317.0,5392.0,467,542
d48_74_F1.mp4,58.79,63.73,1763.0,1911.0,511,705
d48_33_F1.mp4,88.69,93.69,2659.0,2809.0,471,540
d48_84_Sat1.mp4,33.33,38.30,1000.0,1149.0,511,525
d48_82_Sat1.mp4,28.46,33.43,854.0,1003.0,702,637
d48_39_F1.mp4,87.09,91.99,2611.0,2758.0,529,647
d48_54_F1.mp4,43.91,48.88,1317.0,1466.0,347,727
d48_62_F1.mp4,60.36,65.37,1810.0,1960.0,404,807
