name,day,uroa_control,start_y_from_led,trajectory_angle
101,1,1,-226.11932,48.97734864209368
144,1,1,-230.87733,98.52946614849743
116,1,1,-213.24283,56.991431538980436
103,1,1,-178.57547,105.71143534965458
142,1,1,-306.15125,110.80426874164246
159,1,1,-224.4883,125.20880894296202
105,1,1,-318.9657,56.71397577930074
126,1,1,-266.85757,360.0
120,1,1,-145.64134,95.67702694748188
158,1,1,-289.2449,158.06171982034837
139,1,1,-206.92215,54.423365335114696
113,1,1,-369.9417,85.91282247760286
104,1,1,-388.34204,152.32376414939378
122,1,1,-150.27824,119.96835970675313
137,1,1,-186.82669,107.73697561129305
108,1,1,-161.63441,92.28101206511522
150,1,1,-299.87677,101.1564477573872
128,1,1,-190.80072,89.86884464029191
149,1,1,-386.7077,116.30802050612242
133,1,1,-308.06238,142.65681789788195
155,1,1,-171.1786,76.2741392709563
157,1,1,-423.98804,157.47440988336075
129,1,1,-94.041626,53.12106660552591
130,1,1,-118.43634,25.67125280459265
148,1,1,-96.93248,360.0
155,4,1,-114.729965,142.61132306959922
113,4,1,-234.74678,96.49806597239484
148,4,1,-324.46786,90.5010546553342
137,4,1,-66.80928,118.17978196160422
108,4,1,-278.34674,115.31272220365037
150,4,1,-224.60687,67.89960026544867
128,4,1,-268.3338,79.95252978354809
149,4,1,-235.28937,57.63203112876877
133,4,1,-293.24625,55.295016653717184
122,4,1,-156.1581,37.309697888216185
158,4,1,-79.74425,360.0
139,4,1,-209.45903,89.74174646459635
104,4,1,-203.00304,360.0
120,4,1,-102.19859,17.250938349965907
144,4,1,-295.07666,98.25812514147583
101,4,1,-278.24506,112.29976412972736
116,4,1,-109.865036,9.095849487549742
146,4,1,-362.2893,95.63214855182044
103,4,1,-311.94604,148.5080940613304
142,4,1,-131.75638,360.0
114,4,1,-269.0229,51.87631701011199
121,4,1,-122.32886,77.50508888180525
105,4,1,-278.58865,115.6268098208068
157,3,1,-346.4912,33.48181384405362
155,3,1,-329.41223,100.79044214203279
130,3,1,-297.70105,84.09536534850514
116,3,1,-228.80939,72.65248287481715
129,3,1,-69.335175,107.89815356363788
114,3,1,-247.64975,26.83184217142411
153,3,1,-234.41586,17.277097737642826
113,3,1,-320.4184,46.73167149052273
137,3,1,-167.8356,0.7634958040121057
149,3,1,-321.55948,360.0
128,3,1,-375.9427,134.56081912746757
150,3,1,-325.19708,63.09454945232583
122,3,1,-131.12558,360.0
120,3,1,-128.13686,171.56487184077187
139,3,1,-233.07257,92.9871476352514
158,3,1,-273.80563,74.4215063505838
146,3,1,-274.2693,66.44686570196062
125,3,1,-186.7597,45.739431603884015
105,3,1,-339.30273,68.26771071410164
121,3,1,-271.56946,96.85876794186359
142,3,1,-249.25607,92.17477297076461
153,2,1,-298.0006,79.82665094940486
130,2,1,-232.14552,67.81003682166357
116,2,1,-177.77783,84.86385057099702
129,2,1,-131.48083,360.0
155,2,1,-194.67682,153.25133816784765
157,2,1,-295.23996,35.21729710662178
149,2,1,-379.18253,50.59318456749385
128,2,1,-202.01094,102.17038724013672
150,2,1,-388.59805,82.94160335973815
133,2,1,-251.63432,153.31877387202329
113,2,1,-242.17755,144.74984826988825
108,2,1,-165.78142,72.60813541359363
104,2,1,-304.3814,35.14913498105204
158,2,1,-373.63617,151.27072152437322
120,2,1,-144.56186,360.0
122,2,1,-218.522,50.59428428512804
142,2,1,-400.31604,109.8225149818802
105,2,1,-143.06541,155.74477592378514
159,2,1,-182.4913,63.148328987785156
125,2,1,-323.6018,54.34042429915265
144,2,1,-281.48068,87.27135353129606
101,2,1,-233.78412,28.828587784500385
146,2,1,-273.47427,64.74221874073
103,2,1,-156.7139,121.69812363990786
120,5,1,-94.58223,130.50595280207355
122,5,1,-427.27283,58.09362374653063
118,1,0,-204.24875,161.79466068765075
160,1,0,-90.66252,66.47210599968993
127,1,0,-215.09895,131.16836038058003
107,1,0,-297.54764,169.3848031034139
140,1,0,-150.8728,92.95681218527152
138,1,0,-330.20062,84.45369467340304
102,1,0,-165.14867,140.04352858470452
117,1,0,-199.36087,94.7998361337905
145,1,0,-117.18759,75.58617693045268
124,1,0,-180.19516,121.92602528929265
119,1,0,-238.23734,105.55179812643486
141,1,0,-273.26837,61.477309729320645
143,1,0,-97.2341,56.653785241386
106,1,0,-272.6615,127.85604241507818
111,1,0,-214.0146,360.0
156,1,0,-311.17612,360.0
135,1,0,-303.21393,82.95479342018237
154,1,0,-86.67076,34.626330165226705
131,1,0,-236.26797,60.22019707010132
152,1,0,-166.94887,163.81784681063093
109,1,0,-261.77795,57.340180971408515
110,1,0,-217.85269,141.6810335259972
136,1,0,-225.89053,158.3610292554185
151,1,0,-283.63025,115.22863583150861
109,4,0,-281.56805,24.352434345299084
110,4,0,-266.563,96.77191269048045
136,4,0,-145.18948,74.6574001150454
132,4,0,-295.34158,153.27583360567058
151,4,0,-330.98938,53.13452173439584
156,4,0,-302.2182,64.12143063606295
117,4,0,-136.30028,360.0
135,4,0,-273.63754,113.67677647501355
131,4,0,-259.36682,8.417764639697591
152,4,0,-163.32494,111.08063515778176
119,4,0,-198.10371,126.07120227299748
102,4,0,-234.08902,51.03841580991844
145,4,0,-156.99126,62.486052154321406
141,4,0,-240.62297,93.31981757191299
106,4,0,-191.40906,360.0
143,4,0,-291.69037,155.960826568964
112,4,0,-143.35878,2.1181221498742584
160,4,0,-246.28665,90.58045297096962
127,4,0,-237.73747,99.12698126743189
118,4,0,-237.83537,89.22778309086041
107,4,0,-272.31863,360.0
140,4,0,-175.49756,78.25700512319173
138,4,0,-256.8812,64.51804083875875
136,3,0,-313.50302,77.42443004870836
110,3,0,-285.32568,84.48008048031268
112,3,0,-225.10535,109.30391246437613
134,3,0,-232.16174,22.87088317261294
151,3,0,-314.44507,101.76136269443334
132,3,0,-286.39215,43.52141351700122
154,3,0,-283.0227,51.837922002463834
135,3,0,-265.0605,71.34542115236897
111,3,0,-209.96378,158.69045690714438
152,3,0,-186.40776,57.18133647123536
131,3,0,-216.48486,61.01218694523482
